mol_idx,top_score,error,frequency,tier,mean_top_score,std_top_score,agreement_rate,predictive_entropy
1078,0.97007096,0,22,3) common (21-100),0.871534,0.07222034,1.0,0.8543491060184086
1079,0.41241178,1,3,1) very rare (1-5),0.10834746,0.059497166,1.0,6.971605745320701
1080,0.27884638,0,0,1) very rare (1-5),0.21094973,0.06260283,0.55,5.131037346671565
1081,0.12913252,1,2,1) very rare (1-5),0.07985219,0.039665923,0.45,6.658747146320376
1082,0.82345647,0,1290,4) very common (100+),0.63511205,0.11354665,0.95,2.068454853826605
1083,0.88012564,0,106,4) very common (100+),0.5086544,0.12076919,1.0,3.8568666685496202
1084,0.24914354,0,17,2) rare (6-20),0.18246366,0.05792796,0.55,4.823938148172098
1085,0.14025956,0,2,1) very rare (1-5),0.05819962,0.025192806,0.45,7.41471678608298
1086,0.9381048,1,3,1) very rare (1-5),0.7159291,0.13436183,1.0,2.2918389487242856
1087,0.54878944,0,3,1) very rare (1-5),0.36554164,0.11362877,0.8,3.2844407942886438
1088,0.08580946,1,2,1) very rare (1-5),0.048982054,0.019905753,0.3,6.8439641695102695
1089,0.4004538,1,134,4) very common (100+),0.16597573,0.07202644,0.85,6.343740763063318
1090,0.3386625,0,14,2) rare (6-20),0.18232536,0.07029277,0.75,5.6889668741499095
1091,0.2470066,0,1,1) very rare (1-5),0.09566876,0.05520072,0.8,6.99407462378531
1092,0.3121555,0,0,1) very rare (1-5),0.17278227,0.04163171,0.75,5.424005191535554
1093,0.91175395,0,11,2) rare (6-20),0.75304985,0.08835454,1.0,1.9719982629931263
1094,0.27232793,1,1,1) very rare (1-5),0.12393911,0.055129718,0.85,7.0346853561915985
1095,0.9505828,0,274,4) very common (100+),0.7911001,0.086179696,1.0,1.4807226863569378
1096,0.41578996,0,166,4) very common (100+),0.15982167,0.060310952,0.5,6.567242529623988
1097,0.87535393,0,1290,4) very common (100+),0.74279314,0.110344805,1.0,1.5824803639448954
1098,0.79446644,0,7,2) rare (6-20),0.39823127,0.11232994,1.0,5.015550819604739
1099,0.19602561,1,1,1) very rare (1-5),0.111333646,0.04783896,0.45,5.677228721254456
1100,0.09475102,1,1,1) very rare (1-5),0.051703434,0.024284398,0.4,7.136586885164808
1101,0.9303387,0,1000,4) very common (100+),0.7283894,0.15275076,1.0,1.9639964078658476
1102,0.8374919,0,1,1) very rare (1-5),0.5433177,0.17259392,1.0,3.1875116648966753
1103,0.34947988,1,81,3) common (21-100),0.12289093,0.051207107,0.65,6.771494140089544
1104,0.506018,0,105,4) very common (100+),0.30443427,0.13201825,0.95,5.29945714428674
1105,0.7879241,0,237,4) very common (100+),0.4422471,0.14583907,1.0,4.642760080719752
1106,0.48148644,1,4,1) very rare (1-5),0.4092533,0.1140777,0.75,3.014906621331109
1107,0.48040774,1,62,3) common (21-100),0.15117338,0.06413425,1.0,6.9339226067868776
1108,0.29725254,1,0,1) very rare (1-5),0.12107537,0.051189527,0.85,6.10078044749112
1109,0.955765,0,84,3) common (21-100),0.7297463,0.10687671,1.0,2.3450639095236068
1110,0.29816183,1,81,3) common (21-100),0.13265903,0.06661065,0.8,6.426036387770198
1111,0.8554831,0,1290,4) very common (100+),0.59659684,0.11120225,1.0,3.073290347430743
1112,0.9285939,0,1290,4) very common (100+),0.7552691,0.08066754,1.0,1.9395107308414385
1113,0.6454953,0,700,4) very common (100+),0.28562436,0.08701576,0.9,5.603306657889353
1114,0.07193124,1,0,1) very rare (1-5),0.026722256,0.0106916465,0.7,7.871068949836018
1115,0.119972244,1,8,2) rare (6-20),0.05345465,0.019905502,0.5,7.309857707076377
1116,0.087908916,1,2,1) very rare (1-5),0.061995696,0.023833757,0.4,6.466541105222718
1117,0.026744194,1,274,4) very common (100+),0.017993743,0.007994526,0.3,7.939881690808587
1118,0.15220356,0,4,1) very rare (1-5),0.049296744,0.023648294,0.7,7.355552291500476
1119,0.033478312,1,0,1) very rare (1-5),0.021855548,0.007177028,0.3,7.715163966372078
1120,0.71746415,0,145,4) very common (100+),0.37167388,0.123184085,1.0,4.831620330302187
1121,0.98132414,0,421,4) very common (100+),0.8555228,0.095038764,1.0,1.2900953227749876
1122,0.24004932,1,0,1) very rare (1-5),0.11935965,0.047530353,0.75,6.6073213897125385
1123,0.115011014,1,76,3) common (21-100),0.06680255,0.020970352,0.45,6.815800746880704
1124,0.62169915,1,0,1) very rare (1-5),0.39257795,0.11803039,0.85,4.353525607537106
1125,0.68172616,1,28,3) common (21-100),0.40803847,0.13502425,1.0,4.303934904165827
1126,0.49969357,1,0,1) very rare (1-5),0.26778418,0.099511035,0.9,4.210269053649365
1127,0.32520032,1,39,3) common (21-100),0.22880761,0.102437116,0.65,4.400993676261935
1128,0.13496582,1,1,1) very rare (1-5),0.09119276,0.04103481,0.55,6.428939352822319
1129,0.7126149,0,21,3) common (21-100),0.53455406,0.13579194,0.8,2.3278466094434083
1130,0.025062773,1,6,2) rare (6-20),0.017461438,0.0068315184,0.2,8.097990557139715
1131,0.06597716,1,4,1) very rare (1-5),0.03712385,0.019500872,0.65,7.470831936885736
1132,0.7437897,0,1,1) very rare (1-5),0.4484939,0.15504184,0.95,3.9016853537978435
1133,0.14790909,1,36,3) common (21-100),0.071900144,0.027211335,0.55,6.793022486283564
1134,0.91398966,0,1000,4) very common (100+),0.82830894,0.10632888,1.0,0.8981140436240815
1135,0.35407898,1,4,1) very rare (1-5),0.26871505,0.06842823,0.7,3.8416838028057745
1136,0.4153224,0,5,1) very rare (1-5),0.21109645,0.08008555,0.8,5.4247799165591974
1137,0.040815413,1,0,1) very rare (1-5),0.018411422,0.00535534,0.55,7.930898177265301
1138,0.56160736,1,3,1) very rare (1-5),0.37238255,0.10928906,0.8,4.362400938598904
1139,0.10254073,1,3,1) very rare (1-5),0.039872177,0.018017199,0.7,7.772964240118895
1140,0.5124837,0,700,4) very common (100+),0.36393365,0.15784107,0.85,3.182908945641492
1141,0.15291771,0,1,1) very rare (1-5),0.08992637,0.036921725,0.4,7.002222818248063
1142,0.4284791,0,71,3) common (21-100),0.37715513,0.1444322,0.75,2.846576805076464
1143,0.019487942,1,6,2) rare (6-20),0.016269209,0.0048236432,0.25,7.9614873632689624
1144,0.18715875,1,8,2) rare (6-20),0.06734341,0.02331008,0.6,7.269682320129832
1145,0.97823,1,89,3) common (21-100),0.8329201,0.06902613,1.0,1.6558135270359458
1146,0.5859514,1,1290,4) very common (100+),0.42620373,0.11998791,0.75,2.979359514608479
1147,0.7424102,1,54,3) common (21-100),0.53538764,0.11062657,0.9,2.606770669490571
1148,0.43057132,0,22,3) common (21-100),0.3140996,0.10207989,0.7,3.9336478035731304
1149,0.7386198,1,3,1) very rare (1-5),0.36896068,0.16038445,0.95,4.565728372037089
1150,0.0481919,1,39,3) common (21-100),0.027843112,0.010426797,0.35,7.663704202957529
1151,0.5186195,1,0,1) very rare (1-5),0.28187418,0.12550105,0.85,4.660611312407099
1152,0.7522229,0,3,1) very rare (1-5),0.56463724,0.13449275,0.9,2.6146228238010796
1153,0.23404,0,1,1) very rare (1-5),0.09812094,0.022017559,0.45,6.465304609906369
1154,0.53004444,1,160,4) very common (100+),0.31369942,0.096656375,0.9,4.5216061736912
1155,0.7505119,1,0,1) very rare (1-5),0.2526474,0.09699377,1.0,6.082923305183174
1156,0.0994423,1,4,1) very rare (1-5),0.050936688,0.023500727,0.5,7.204533617419379
1157,0.49834087,0,37,3) common (21-100),0.23622397,0.083612554,0.8,5.680036875163217
1158,0.7724292,0,4,1) very rare (1-5),0.38993126,0.11854296,1.0,5.201304558113755
1159,0.12822913,1,0,1) very rare (1-5),0.0557495,0.040317014,0.75,7.490846314853362
1160,0.21784598,0,55,3) common (21-100),0.09688975,0.038546797,0.7,6.847178827350271
1161,0.4299816,1,1070,4) very common (100+),0.38456136,0.11148034,0.6,2.531468680793457
1162,0.9268579,0,421,4) very common (100+),0.72727644,0.11878659,1.0,2.107184822041323
1163,0.575229,0,700,4) very common (100+),0.31860012,0.10023021,0.8,4.558623713326711
1164,0.6963579,0,237,4) very common (100+),0.35820618,0.103897154,0.9,4.694778308008872
1165,0.49542058,1,142,4) very common (100+),0.2188135,0.10350425,0.95,5.166065271910473
1166,0.64613867,1,76,3) common (21-100),0.35233802,0.123963624,0.95,5.409724385526827
1167,0.9702105,0,89,3) common (21-100),0.81304455,0.07916096,1.0,1.5923912081672489
1168,0.12713516,1,1,1) very rare (1-5),0.045403756,0.020454932,0.75,7.779906863568267
1169,0.06118679,0,1,1) very rare (1-5),0.049388237,0.027764315,0.35,7.033333810737824
1170,0.2804802,0,42,3) common (21-100),0.13870788,0.051593307,0.7,5.829609517083536
1171,0.3904649,1,1,1) very rare (1-5),0.16031802,0.060023766,0.85,6.259985820630738
1172,0.22861166,1,25,3) common (21-100),0.19044435,0.065628424,0.4,4.636920458074627
1173,0.96163636,0,10,2) rare (6-20),0.8839263,0.05348261,1.0,0.7606115898915626
1174,0.73092604,1,105,4) very common (100+),0.46761113,0.11460187,0.95,3.521757627503236
1175,0.43734995,0,17,2) rare (6-20),0.28020447,0.07949706,0.75,4.322334158671676
1176,0.10960715,1,0,1) very rare (1-5),0.06460143,0.02078391,0.4,7.203207462925821
1177,0.4417566,1,4,1) very rare (1-5),0.35837138,0.106108256,0.55,2.525798344850093
1178,0.5615556,1,0,1) very rare (1-5),0.5482397,0.0792545,0.8,1.9039231293036967
1179,0.11248241,1,0,1) very rare (1-5),0.06589055,0.023730328,0.35,7.189914247660613
1180,0.057108052,1,0,1) very rare (1-5),0.03681136,0.0122056855,0.35,7.313705729953441
1181,0.54039127,0,1290,4) very common (100+),0.3547141,0.109571904,0.8,3.7075854746547887
1182,0.37849504,1,11,2) rare (6-20),0.1979742,0.08215979,0.65,5.286226575187876
1183,0.080111906,1,4,1) very rare (1-5),0.08145607,0.03370545,0.2,5.6147617801633825
1184,0.9474402,0,70,3) common (21-100),0.75038344,0.1024455,1.0,2.0656690779941242
1185,0.52585834,0,1290,4) very common (100+),0.53762156,0.082836956,0.55,1.9348512932185278
1186,0.19156255,1,275,4) very common (100+),0.15921822,0.04637259,0.45,5.10477475694614
1187,0.43768734,1,78,3) common (21-100),0.2719474,0.1231842,0.6,4.439105064657339
1188,0.96616805,0,142,4) very common (100+),0.76213634,0.09116782,1.0,2.1917767092822227
1189,0.48063493,1,1,1) very rare (1-5),0.2425088,0.08460856,0.75,4.656139984323488
1190,0.9321961,1,1070,4) very common (100+),0.6977679,0.092588805,1.0,2.516693123932061
1191,0.98952454,0,211,4) very common (100+),0.8632018,0.07496507,1.0,1.4414224253241954
1192,0.11267764,1,1,1) very rare (1-5),0.052984577,0.019674037,0.25,7.348839214413173
1193,0.25819746,1,5,1) very rare (1-5),0.15666339,0.05248723,0.45,5.869908908684063
1194,0.03134607,1,2,1) very rare (1-5),0.015123891,0.0061060525,0.45,8.394027996929946
1195,0.26707438,1,275,4) very common (100+),0.12615493,0.08002508,0.55,6.365462804049738
1196,0.701863,1,18,2) rare (6-20),0.39296752,0.14055303,0.9,4.513587657872821
1197,0.08170575,1,3,1) very rare (1-5),0.03472223,0.01648599,0.6,7.798932987144356
1198,0.11397664,1,24,3) common (21-100),0.06365053,0.030661227,0.5,7.048615729681089
1199,0.18236406,1,0,1) very rare (1-5),0.092206456,0.030438788,0.6,6.280342133818278
1200,0.7626193,1,142,4) very common (100+),0.667735,0.09771733,0.95,1.3935417381515092
1201,0.2726444,1,86,3) common (21-100),0.14110526,0.056634028,0.65,5.968682418553892
1202,0.23806624,1,0,1) very rare (1-5),0.16144021,0.042280138,0.5,5.20735278409503
1203,0.051430847,1,92,3) common (21-100),0.02144832,0.011149375,0.65,8.118934582915442
1204,0.31855416,1,0,1) very rare (1-5),0.10563451,0.05676589,1.0,7.194882054946479
1205,0.08820371,1,1,1) very rare (1-5),0.074687935,0.028647427,0.3,6.3422321010001435
1206,0.33849475,1,160,4) very common (100+),0.14429443,0.06278646,1.0,6.272588759606773
1207,0.67127055,1,69,3) common (21-100),0.45505708,0.12210209,0.85,3.7377982423613316
1208,0.2534583,1,1,1) very rare (1-5),0.106122516,0.05040971,0.85,6.838235714766776
1209,0.06700973,1,0,1) very rare (1-5),0.06111266,0.022217955,0.35,6.151320040420934
1210,0.5059768,1,1070,4) very common (100+),0.52366817,0.093795635,0.5,1.7547296301406998
1211,0.065690294,1,5,1) very rare (1-5),0.02971802,0.014570639,0.35,7.914108081222341
1212,0.31432897,1,1,1) very rare (1-5),0.1760407,0.069976285,0.55,5.707766202403668
1213,0.24860273,1,372,4) very common (100+),0.15370497,0.053680006,0.75,5.338727118733006
1214,0.4721329,1,2,1) very rare (1-5),0.45183048,0.10909778,0.7,3.342938431529615
1215,0.34011197,1,1,1) very rare (1-5),0.12271853,0.050081886,0.85,6.349909936545769
1216,0.1726382,1,86,3) common (21-100),0.10692762,0.033229034,0.5,6.4559964785293555
1217,0.9131823,0,700,4) very common (100+),0.79516846,0.08267982,1.0,1.177264592009798
1218,0.1632421,1,4,1) very rare (1-5),0.06472328,0.016887363,0.45,6.735040078149847
1219,0.8956413,0,372,4) very common (100+),0.48463815,0.119726546,1.0,4.726297002714258
1220,0.8905903,0,2,1) very rare (1-5),0.53782624,0.120414,1.0,4.2757028828378365
1221,0.06941285,1,0,1) very rare (1-5),0.0527714,0.020791795,0.35,6.784391159548408
1222,0.52328944,0,1070,4) very common (100+),0.29290593,0.12685764,0.95,5.043558174239758
1223,0.15743777,1,5,1) very rare (1-5),0.07124002,0.02941093,0.55,7.220505787724954
1224,0.38489786,1,0,1) very rare (1-5),0.19021335,0.09347517,0.9,5.881836933687385
1225,0.811049,0,4,1) very rare (1-5),0.44374794,0.1352168,1.0,3.99458132837656
1226,0.29207605,1,3,1) very rare (1-5),0.1705946,0.059964553,0.65,5.108934789178015
1227,0.07274528,1,0,1) very rare (1-5),0.054750852,0.021748299,0.35,6.680468870945692
1228,0.3624336,1,17,2) rare (6-20),0.15223993,0.06236607,0.9,6.300104043712225
1229,0.18770319,1,0,1) very rare (1-5),0.06707049,0.03808579,0.65,7.377611122264602
1230,0.40062124,0,268,4) very common (100+),0.3169266,0.10373843,0.4,3.679616319680262
1231,0.09148147,1,1,1) very rare (1-5),0.046178825,0.011493724,0.3,7.546157618173193
1232,0.15687108,1,1,1) very rare (1-5),0.07179017,0.031155223,0.7,7.190633495727948
1233,0.388319,0,421,4) very common (100+),0.24810454,0.07667689,0.55,4.93598812250794
1234,0.30494523,1,1290,4) very common (100+),0.24142416,0.063607976,0.45,4.343031781041735
1235,0.3272301,1,2,1) very rare (1-5),0.16027944,0.07587727,0.9,5.961721726804171
1236,0.7041826,1,58,3) common (21-100),0.40789956,0.14215395,1.0,3.9572227429600173
1237,0.19464986,0,14,2) rare (6-20),0.05195558,0.026366666,0.9,7.715954827108305
1238,0.2560106,1,36,3) common (21-100),0.15370116,0.035772037,0.4,5.787032057347415
1239,0.118231215,1,0,1) very rare (1-5),0.07170214,0.026278764,0.45,6.928979620780978
1240,0.727158,1,5,1) very rare (1-5),0.4747119,0.120388314,1.0,3.491289685818027
1241,0.7802345,1,15,2) rare (6-20),0.5404506,0.12502371,1.0,2.9515384576431236
1242,0.15929954,1,18,2) rare (6-20),0.06542347,0.024084738,0.45,7.190375571992208
1243,0.8830005,1,1290,4) very common (100+),0.6571813,0.08827055,0.95,2.5689177084025574
1244,0.22123441,1,14,2) rare (6-20),0.15120646,0.05924075,0.6,5.677095220040963
1245,0.4345058,0,66,3) common (21-100),0.37350377,0.09352599,0.9,3.1227440092536662
1246,0.016528074,1,88,3) common (21-100),0.01785062,0.008283067,0.2,8.143860895927089
1247,0.1435585,1,19,2) rare (6-20),0.066085026,0.028786121,0.7,7.3629309808303365
1248,0.5729959,1,19,2) rare (6-20),0.3053482,0.06793131,0.85,4.54428691005567
1249,0.28480235,1,3,1) very rare (1-5),0.14166026,0.062491562,0.6,5.856662833393187
1250,0.11244238,1,7,2) rare (6-20),0.04636798,0.01876409,0.75,7.361542478501247
1251,0.52880937,1,1070,4) very common (100+),0.37018645,0.10645291,0.8,3.735419217197425
1252,0.6405444,0,700,4) very common (100+),0.26590845,0.075551786,1.0,6.471836881156394
1253,0.85767114,0,261,4) very common (100+),0.48297566,0.15230334,1.0,4.655127479851128
1254,0.96841115,0,96,3) common (21-100),0.79892933,0.13205764,1.0,1.5232212081271548
1255,0.48324743,0,223,4) very common (100+),0.39656037,0.10886263,0.55,4.143257810700666
1256,0.38396996,0,9,2) rare (6-20),0.16069828,0.06835306,0.6,5.970132277406497
1257,0.94407016,0,106,4) very common (100+),0.7650121,0.090513006,1.0,1.7318474309113505
1258,0.029731864,1,0,1) very rare (1-5),0.024876662,0.009639937,0.25,7.621693644399053
1259,0.983063,1,0,1) very rare (1-5),0.9005755,0.05027824,1.0,0.7853633395524373
1260,0.3540975,0,5,1) very rare (1-5),0.13745123,0.044612456,1.0,6.483350824722358
1261,0.41391554,1,3,1) very rare (1-5),0.27563947,0.095612906,0.6,4.4722446478820235
1262,0.9131232,1,86,3) common (21-100),0.6887857,0.16378742,1.0,2.071617601903348
1263,0.37870422,1,4,1) very rare (1-5),0.29210156,0.06975173,0.65,3.6194335601441106
1264,0.17820355,1,5,1) very rare (1-5),0.102922514,0.035123855,0.45,6.860969415823368
1265,0.17398871,1,76,3) common (21-100),0.07875143,0.026801765,0.5,6.90954593265346
1266,0.2111725,0,0,1) very rare (1-5),0.08349453,0.047436155,0.75,7.376699663914
1267,0.15419084,0,17,2) rare (6-20),0.10370438,0.038878053,0.3,6.4481871430990765
1268,0.1252706,1,9,2) rare (6-20),0.12767898,0.039210085,0.3,5.888228258445836
1269,0.17871824,1,0,1) very rare (1-5),0.09295982,0.037552055,0.5,6.8924220950575465
1270,0.9522381,1,0,1) very rare (1-5),0.7520951,0.092918865,1.0,2.126330432962971
1271,0.7420122,1,0,1) very rare (1-5),0.5446746,0.13237427,0.95,2.6297671796824877
1272,0.2860189,0,23,3) common (21-100),0.14991271,0.07502344,0.55,6.510311595390171
1273,0.21612437,1,9,2) rare (6-20),0.1173682,0.04371777,0.4,6.125848152623847
1274,0.5305196,0,700,4) very common (100+),0.37344003,0.0984497,0.85,4.212990647867851
1275,0.4530032,0,3,1) very rare (1-5),0.24858513,0.08073113,1.0,4.581620796449173
1276,0.83437073,1,3,1) very rare (1-5),0.5614738,0.15344808,1.0,3.1120289694370236
1277,0.7389586,0,31,3) common (21-100),0.4463296,0.1275755,0.9,4.151583703533079
1278,0.25930646,0,134,4) very common (100+),0.22105947,0.055625115,0.5,4.50182092497539
1279,0.6761397,0,10,2) rare (6-20),0.45604545,0.13520192,0.95,2.708629933561992
1280,0.28787047,1,15,2) rare (6-20),0.12799494,0.04982116,0.6,6.494721268991084
1281,0.46538782,1,9,2) rare (6-20),0.26334727,0.07090456,0.7,5.302731470193977
1282,0.2840045,0,0,1) very rare (1-5),0.15205488,0.039036494,0.8,5.510579237089217
1283,0.9400377,0,261,4) very common (100+),0.7368136,0.10444197,1.0,2.096835724618459
1284,0.8135543,0,43,3) common (21-100),0.5520998,0.14193095,1.0,3.273403346255244
1285,0.7432663,1,37,3) common (21-100),0.44594374,0.12956361,0.95,4.158620635064213
1286,0.029440906,1,4,1) very rare (1-5),0.024617035,0.009482442,0.3,7.83944038707593
1287,0.114526615,0,0,1) very rare (1-5),0.06686313,0.030835623,0.5,7.369611488770965
1288,0.119644515,1,1,1) very rare (1-5),0.059731107,0.029337566,0.6,7.314699844452598
1289,0.11086586,1,1,1) very rare (1-5),0.09292694,0.034479335,0.3,5.929096833198564
1290,0.44351888,0,1,1) very rare (1-5),0.25992838,0.12059291,0.9,4.474535544659875
1291,0.96291333,0,700,4) very common (100+),0.8640372,0.07844713,1.0,0.910392265927455
1292,0.61838883,0,700,4) very common (100+),0.3010428,0.12395401,0.95,5.4933896306138035
1293,0.6730409,1,3,1) very rare (1-5),0.30675572,0.119507976,0.95,5.5539940727098305
1294,0.35923868,1,12,2) rare (6-20),0.16629496,0.060539883,0.9,6.015236778869091
1295,0.036038954,1,3,1) very rare (1-5),0.024208264,0.0073466287,0.25,7.830360978151308
1296,0.97526044,0,1000,4) very common (100+),0.87021935,0.05790689,1.0,1.1006689156219047
1297,0.20799294,1,0,1) very rare (1-5),0.1173384,0.06653763,0.8,6.205150345545411
1298,0.63993967,1,3,1) very rare (1-5),0.25168556,0.098074034,0.95,6.53255552110063
1299,0.13319243,0,3,1) very rare (1-5),0.077735335,0.024291592,0.5,7.04607827966832
1300,0.96514845,0,78,3) common (21-100),0.78635186,0.086423166,1.0,1.783827628317194
1301,0.45671973,0,24,3) common (21-100),0.2370139,0.11333106,0.95,5.5559632621554655
1302,0.4387482,0,11,2) rare (6-20),0.2519095,0.104154535,1.0,5.3779106041480995
1303,0.06830319,1,0,1) very rare (1-5),0.036827814,0.014084367,0.3,7.495067515195587
1304,0.765804,0,1290,4) very common (100+),0.47502065,0.13559356,0.95,3.5317305155147403
1305,0.21131343,0,7,2) rare (6-20),0.23510262,0.0927167,0.5,3.8435367706862733
1306,0.5447306,0,1290,4) very common (100+),0.5157994,0.14588419,0.65,2.491119572370524
1307,0.87546486,0,4,1) very rare (1-5),0.53841287,0.0998475,1.0,3.5370658125145527
1308,0.8720091,1,1070,4) very common (100+),0.6548946,0.11511473,1.0,2.5652994859424636
1309,0.2752794,1,0,1) very rare (1-5),0.19411016,0.081972785,0.45,4.6729982996805095
1310,0.42890632,1,421,4) very common (100+),0.20155211,0.08731175,0.85,5.848077567892098
1311,0.46830076,1,7,2) rare (6-20),0.2797402,0.1011391,0.85,4.235317207962618
1312,0.95760363,0,20,2) rare (6-20),0.78340405,0.11052526,1.0,1.6903828370694554
1313,0.98198235,0,1290,4) very common (100+),0.90810794,0.045191035,1.0,0.7623686592955488
1314,0.57378775,0,1000,4) very common (100+),0.32429522,0.09810156,0.85,4.52004731581457
1315,0.60039914,0,0,1) very rare (1-5),0.22872916,0.10925166,0.95,6.292908047246195
1316,0.32514045,1,16,2) rare (6-20),0.23785762,0.07649895,0.45,4.538986735780389
1317,0.9899296,0,94,3) common (21-100),0.8934393,0.058754798,1.0,1.0683037524489556
1318,0.03917529,1,14,2) rare (6-20),0.029657707,0.012083065,0.5,7.752488541524972
1319,0.26154706,1,27,3) common (21-100),0.23569843,0.06547516,0.6,3.5793319231078105
1320,0.25911862,1,65,3) common (21-100),0.16175736,0.061636515,0.75,5.412151806255595
1321,0.35372034,1,18,2) rare (6-20),0.2454503,0.062085193,0.45,4.1868457592257595
1322,0.725907,1,0,1) very rare (1-5),0.57343376,0.1437843,0.8,2.002260549315657
1323,0.27537262,1,17,2) rare (6-20),0.08814134,0.043366536,0.95,7.3986158253491
1324,0.33754504,1,1070,4) very common (100+),0.16369472,0.067924276,0.55,6.104057339213681
1325,0.507617,0,21,3) common (21-100),0.307912,0.104782864,0.85,4.41725218552824
1326,0.98744804,1,268,4) very common (100+),0.9180721,0.0350423,1.0,0.6511550809048343
1327,0.12400781,1,0,1) very rare (1-5),0.074566975,0.037129562,0.35,6.473983051357283
1328,0.06711179,1,4,1) very rare (1-5),0.04120096,0.017812781,0.35,7.110767326001634
1329,0.27303374,1,0,1) very rare (1-5),0.07526825,0.039571308,1.0,7.587641143116784
1330,0.2589154,1,7,2) rare (6-20),0.12385098,0.04469248,0.65,5.707078640988875
1331,0.874107,0,5,1) very rare (1-5),0.5559688,0.11082035,1.0,3.8501531725600846
1332,0.93019867,0,20,2) rare (6-20),0.6538581,0.10715956,1.0,2.957013717416972
1333,0.6482291,1,14,2) rare (6-20),0.37180886,0.1193389,0.95,4.569616067086993
1334,0.86212385,1,70,3) common (21-100),0.5624739,0.1478641,1.0,3.386736619365281
1335,0.81807595,0,42,3) common (21-100),0.5065367,0.14185475,1.0,3.4980231173355563
1336,0.68557286,1,1,1) very rare (1-5),0.31469524,0.1194007,1.0,4.876747072459917
1337,0.06039451,1,18,2) rare (6-20),0.021723699,0.01440142,0.8,8.02744366860771
1338,0.80557925,1,2,1) very rare (1-5),0.4330968,0.16957952,1.0,4.209199753151041
1339,0.8450867,0,8,2) rare (6-20),0.57480705,0.16810888,0.95,3.137178570090757
1340,0.8571255,0,223,4) very common (100+),0.47941628,0.17450902,1.0,4.3568264064851405
1341,0.2990984,0,1,1) very rare (1-5),0.19841155,0.07776194,0.55,5.018760015856803
1342,0.23991802,1,0,1) very rare (1-5),0.12088116,0.043452132,0.55,5.906364577890973
1343,0.53605044,1,1290,4) very common (100+),0.5532352,0.07907237,0.6,2.3505806765057167
1344,0.22543772,1,0,1) very rare (1-5),0.11497877,0.044373903,0.7,6.957800492132305
1345,0.4584769,1,3,1) very rare (1-5),0.2880679,0.1094551,0.65,4.753691300621221
1346,0.40296653,0,0,1) very rare (1-5),0.2295553,0.116050474,0.95,4.761161486066406
1347,0.9818763,0,12,2) rare (6-20),0.83789986,0.079611786,1.0,1.3896639323838218
1348,0.81974036,0,261,4) very common (100+),0.48736042,0.18613923,0.95,4.044943861127019
1349,0.5457802,0,160,4) very common (100+),0.27813023,0.082180336,0.95,5.035439866678357
1350,0.3139977,0,9,2) rare (6-20),0.2099982,0.087705575,0.65,4.560565972357724
1351,0.8618292,0,28,3) common (21-100),0.67047393,0.111847214,1.0,2.123707910694224
1352,0.16845168,1,372,4) very common (100+),0.08675667,0.032118857,0.5,6.260166954974618
1353,0.02366578,1,0,1) very rare (1-5),0.013397329,0.007617301,0.35,8.214838521481393
1354,0.5807284,0,12,2) rare (6-20),0.49495602,0.108287156,0.7,2.6000390565101767
1355,0.27786475,0,1,1) very rare (1-5),0.13324295,0.069883,0.7,6.515092384794045
1356,0.45928353,1,0,1) very rare (1-5),0.19883823,0.113853216,0.95,6.146729382191234
1357,0.14828837,1,100,3) common (21-100),0.10463264,0.03319573,0.35,5.76451859006774
1358,0.8419605,1,5,1) very rare (1-5),0.6601424,0.11042066,1.0,1.9132702913790325
1359,0.75111127,1,76,3) common (21-100),0.544831,0.13362588,0.95,2.9648515802490585
1360,0.7340506,1,160,4) very common (100+),0.36034542,0.12194996,1.0,4.747034865291861
1361,0.7275496,0,12,2) rare (6-20),0.40279865,0.11056388,1.0,4.186883139464716
1362,0.07610677,1,0,1) very rare (1-5),0.044663034,0.015550249,0.35,7.144826790985299
1363,0.09317658,0,3,1) very rare (1-5),0.047292896,0.02567071,0.5,7.390213586935459
1364,0.27380687,1,4,1) very rare (1-5),0.23990004,0.077213325,0.5,3.413269084558104
1365,0.15575282,1,75,3) common (21-100),0.088054016,0.045208383,0.6,6.479229227889748
1366,0.03281828,1,0,1) very rare (1-5),0.018060775,0.006137527,0.3,7.90415912480398
1367,0.39612404,1,3,1) very rare (1-5),0.29524145,0.09937289,0.6,5.170710613575883
1368,0.9525895,0,1000,4) very common (100+),0.83031875,0.0907755,1.0,1.060662001029392
1369,0.52871895,0,2,1) very rare (1-5),0.21522805,0.11311935,0.8,5.912550377967008
1370,0.93002987,0,700,4) very common (100+),0.6684247,0.12427983,1.0,3.006192527291925
1371,0.16315003,1,3,1) very rare (1-5),0.081292085,0.056958724,0.4,7.056133764426619
1372,0.16387689,1,0,1) very rare (1-5),0.05384632,0.024398817,0.85,7.470896339871936
1373,0.05368487,1,17,2) rare (6-20),0.035121545,0.014302564,0.25,7.601353685604862
1374,0.031033628,1,0,1) very rare (1-5),0.020602645,0.008300822,0.3,8.031466890281088
1375,0.8533594,0,68,3) common (21-100),0.5547055,0.15500599,1.0,3.532735296161959
1376,0.5135394,0,2,1) very rare (1-5),0.21391344,0.10617861,0.9,5.881497964965478
1377,0.9905364,1,4,1) very rare (1-5),0.8938241,0.06812888,1.0,1.1205766120068006
1378,0.18444079,1,62,3) common (21-100),0.18787818,0.045048036,0.4,3.278730655803474
