,Reactants,Products,Reagents,Labels,Frequency
7501,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][c:5]([N:6]2[CH2:7][CH2:8][CH2:9][CH2:10]2)[n:11][cH:12]1,[NH2:1][c:2]1[cH:3][cH:4][c:5]([N:6]2[CH2:7][CH2:8][CH2:9][CH2:10]2)[n:11][cH:12]1,,"[('a', 0, 122)]",1277
7502,C[O:1][C:2](=[O:3])[c:4]1[cH:5][c:6]([O:7][CH3:8])[cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14]1,[OH:1][C:2](=[O:3])[c:4]1[cH:5][c:6]([O:7][CH3:8])[cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14]1,,"[('a', 0, 124)]",1797
7503,c1ccc([P+](c2ccccc2)(c2ccccc2)[CH2:14][CH2:15][CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)cc1.O=[C:1]1[CH2:2][CH2:3][N:4]([CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[CH2:12][CH2:13]1,[C:1]1(=[CH:14][CH2:15][CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[CH2:2][CH2:3][N:4]([CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[CH2:12][CH2:13]1,,"[('b', 0, 508)]",142
7504,Br[CH2:1][C@H:2]1[CH2:3][CH2:4][C@H:5]([CH2:6][CH2:7][c:8]2[c:9]([O:10][CH3:11])[cH:12][cH:13][c:14]([F:15])[cH:16]2)[O:17]1.[CH3:18][CH2:19][NH:20][CH2:21][CH3:22],[CH2:1]([C@H:2]1[CH2:3][CH2:4][C@H:5]([CH2:6][CH2:7][c:8]2[c:9]([O:10][CH3:11])[cH:12][cH:13][c:14]([F:15])[cH:16]2)[O:17]1)[N:20]([CH2:19][CH3:18])[CH2:21][CH3:22],,"[('b', 33, 543)]",955
7505,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][C:4]2([CH2:5][CH2:6][CH:7]([NH:8][c:9]3[c:10]([CH3:11])[cH:12][n:13][c:14]([NH:15][c:16]4[cH:17][cH:18][c:19]5[c:20]([CH3:21])[n:22]([CH3:23])[n:24][c:25]5[cH:26]4)[n:27]3)[CH2:28][CH2:29]2)[CH2:30][CH2:31]1,[NH:1]1[CH2:2][CH2:3][C:4]2([CH2:5][CH2:6][CH:7]([NH:8][c:9]3[c:10]([CH3:11])[cH:12][n:13][c:14]([NH:15][c:16]4[cH:17][cH:18][c:19]5[c:20]([CH3:21])[n:22]([CH3:23])[n:24][c:25]5[cH:26]4)[n:27]3)[CH2:28][CH2:29]2)[CH2:30][CH2:31]1,,"[('a', 0, 123)]",1493
7506,O=[C:1]1[NH:2][c:3]2[cH:4][cH:5][cH:6][c:7]([Br:8])[c:9]2[C:10]12[CH2:11][CH2:12][N:13]([CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[CH2:21][CH2:22]2,[CH2:1]1[NH:2][c:3]2[cH:4][cH:5][cH:6][c:7]([Br:8])[c:9]2[C:10]12[CH2:11][CH2:12][N:13]([CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[CH2:21][CH2:22]2,,"[('a', 0, 120)]",433
7507,[CH3:10][C:11](=[O:12])[N:13]1[c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][n:20][n:21]([CH:22]4[CH2:23][CH2:24]4)[cH:25]3)[cH:26][c:27]2[NH:28][CH2:29][C@@H:30]1[CH3:31].Cl[c:1]1[n:2][c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[o:9]1,[c:1]1([N:28]2[c:27]3[c:14]([cH:15][cH:16][c:17](-[c:18]4[cH:19][n:20][n:21]([CH:22]5[CH2:23][CH2:24]5)[cH:25]4)[cH:26]3)[N:13]([C:11]([CH3:10])=[O:12])[C@@H:30]([CH3:31])[CH2:29]2)[n:2][c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[o:9]1,,"[('b', 1, 545)]",1916
7508,OB(O)[c:9]1[cH:10][cH:11][c:12]([CH3:13])[c:14]([CH:15]2[C:16](=[O:17])[C:18]([CH3:19])([CH3:20])[O:21][C:22]([CH3:23])([CH3:24])[C:25]2=[O:26])[cH:27]1.Br[c:1]1[n:2][cH:3][c:4]([Cl:5])[cH:6][c:7]1[Cl:8],[c:1]1(-[c:9]2[cH:10][cH:11][c:12]([CH3:13])[c:14]([CH:15]3[C:16](=[O:17])[C:18]([CH3:19])([CH3:20])[O:21][C:22]([CH3:23])([CH3:24])[C:25]3=[O:26])[cH:27]2)[n:2][cH:3][c:4]([Cl:5])[cH:6][c:7]1[Cl:8],,"[('b', 0, 541)]",900
7509,[CH3:1][O:2][CH2:3]/[CH:4]=[CH:5]/[c:6]1[cH:7][cH:8][c:9]([CH3:10])[c:11]([CH2:12][N:13]([C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[CH:21]2[CH2:22][CH2:23]2)[cH:24]1,[CH3:1][O:2][CH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][c:9]([CH3:10])[c:11]([CH2:12][N:13]([C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[CH:21]2[CH2:22][CH2:23]2)[cH:24]1,,"[('b', 6, 530), ('b', 7, 530)]",442
7510,O=[N+:1]([O-])[c:2]1[cH:3][c:4]([CH3:5])[c:6]([O:7][CH2:8][CH2:9][CH2:10][N:11]2[CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22][CH2:23]2)[cH:24][c:25]1[Cl:26],[NH2:1][c:2]1[cH:3][c:4]([CH3:5])[c:6]([O:7][CH2:8][CH2:9][CH2:10][N:11]2[CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22][CH2:23]2)[cH:24][c:25]1[Cl:26],,"[('a', 0, 122)]",1277
7511,[O:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[c:9]1[cH:10][cH:11][c:12]([Br:13])[cH:14][cH:15]1,[OH:1][CH:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[c:9]1[cH:10][cH:11][c:12]([Br:13])[cH:14][cH:15]1,,"[('b', 0, 537), ('b', 1, 537)]",573
7512,[O:7]=[C:8]([CH2:9][CH2:10][CH2:11][CH:12]([CH2:13][O:14][N+:15](=[O:16])[O-:17])[O:18][N+:19](=[O:20])[O-:21])[O:22][C@@H:23]1[CH2:24][O:25][C@@H:26]2[C@H:27]([OH:28])[CH2:29][O:30][C@H:31]12.Cl[C:1]([O:2][CH:3]([CH3:4])[Cl:5])=[O:6],[C:1]([O:2][CH:3]([CH3:4])[Cl:5])(=[O:6])[O:28][C@H:27]1[C@H:26]2[O:25][CH2:24][C@@H:23]([O:22][C:8](=[O:7])[CH2:9][CH2:10][CH2:11][CH:12]([CH2:13][O:14][N+:15](=[O:16])[O-:17])[O:18][N+:19](=[O:20])[O-:21])[C@H:31]2[O:30][CH2:29]1,,"[('b', 11, 538)]",782
7513,[CH3:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8]([CH2:9][CH2:10][NH2:11])[c:12]([Cl:13])[c:14]1-[c:15]1[cH:16][cH:17][cH:18][c:19]([C:20]#[N:21])[cH:22]1.O=[CH2:1],[CH2:1]1[c:7]2[c:6]([C:4]([O:3][CH3:2])=[O:5])[c:14](-[c:15]3[cH:16][cH:17][cH:18][c:19]([C:20]#[N:21])[cH:22]3)[c:12]([Cl:13])[n:8]2[CH2:9][CH2:10][NH:11]1,,"[('b', 1, 311), ('b', 42, 311)]",6
7514,O=[C:1]([C@H:2]1[CH2:3][CH2:4][C@H:5]([CH2:6][C:7]([O:8][CH2:9][CH3:10])=[O:11])[CH2:12][CH2:13]1)[OH:14],[CH2:1]([C@H:2]1[CH2:3][CH2:4][C@H:5]([CH2:6][C:7]([O:8][CH2:9][CH3:10])=[O:11])[CH2:12][CH2:13]1)[OH:14],,"[('a', 0, 120)]",433
7515,CO[CH:2]([O:1]C)[c:3]1[c:4]([O:5][CH3:6])[cH:7][c:8]([C:9]2([OH:10])[CH2:11][CH2:12][N:13]([CH2:14][c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[CH2:21][CH2:22]2)[cH:23][cH:24]1,[O:1]=[CH:2][c:3]1[c:4]([O:5][CH3:6])[cH:7][c:8]([C:9]2([OH:10])[CH2:11][CH2:12][N:13]([CH2:14][c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[CH2:21][CH2:22]2)[cH:23][cH:24]1,,"[('a', 0, 100), ('a', 1, 100)]",33
7516,CO[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([O:10][CH3:11])[cH:12][cH:13][c:14]2[F:15])[c:16]([CH:17]2[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]2)[cH:24]1,[CH2:1]([OH:2])[c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([O:10][CH3:11])[cH:12][cH:13][c:14]2[F:15])[c:16]([CH:17]2[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]2)[cH:24]1,,"[('a', 0, 117)]",228
7517,Cl[c:1]1[cH:2][cH:3][cH:4][c:5]2[n:6][c:7]([NH2:8])[n:9][n:10]12.[NH2:11][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1,[c:1]1([NH:11][CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:2][cH:3][cH:4][c:5]2[n:6][c:7]([NH2:8])[n:9][n:10]12,,"[('b', 1, 545)]",1916
7518,C[O:1][C:2](=[O:3])[c:4]1[s:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14]2)[cH:15][c:16]1[NH2:17],[OH:1][C:2](=[O:3])[c:4]1[s:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14]2)[cH:15][c:16]1[NH2:17],,"[('a', 0, 124)]",1797
7519,Cl[c:1]1[c:2]([O:3][CH2:4][CH2:5][O:6][c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][cH:13]2)[n:14][cH:15][cH:16][n:17]1.[CH3:18][CH2:19][N:20]1[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]1,[c:1]1([N:23]2[CH2:22][CH2:21][N:20]([CH2:19][CH3:18])[CH2:25][CH2:24]2)[c:2]([O:3][CH2:4][CH2:5][O:6][c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][cH:13]2)[n:14][cH:15][cH:16][n:17]1,,"[('b', 1, 545)]",1916
7520,[O-][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[O:11][C:12]([c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)([c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[O:25]2.[CH3:1][NH2:2],[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[O:11][C:12]([c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)([c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[O:25]2,,"[('b', 2, 483)]",56
7521,Cl[c:1]1[c:2]2[cH:3][cH:4][cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[c:11]2[n:12][cH:13][cH:14]1.[CH3:15][P:16]([CH3:17])(=[O:18])[CH2:19][O:20][C:21](=[O:22])[c:23]1[cH:24][cH:25][cH:26][cH:27][c:28]1[NH2:29],[c:1]1([NH:29][c:28]2[c:23]([C:21]([O:20][CH2:19][P:16]([CH3:15])([CH3:17])=[O:18])=[O:22])[cH:24][cH:25][cH:26][cH:27]2)[c:2]2[cH:3][cH:4][cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[c:11]2[n:12][cH:13][cH:14]1,,"[('b', 1, 545)]",1916
7522,[CH3:9][c:10]1[cH:11][cH:12][c:13]([NH2:14])[c:15]2[cH:16][cH:17][n:18]([CH2:19][c:20]3[cH:21][cH:22][c:23]([O:24][Si:25]([CH:26]([CH3:27])[CH3:28])([CH:29]([CH3:30])[CH3:31])[CH:32]([CH3:33])[CH3:34])[c:35]([CH:36]([CH3:37])[CH3:38])[cH:39]3)[c:40]12.O[C:1](=[O:2])[CH2:3][c:4]1[n:5][n:6][n:7][nH:8]1,[C:1](=[O:2])([CH2:3][c:4]1[n:5][n:6][n:7][nH:8]1)[NH:14][c:13]1[cH:12][cH:11][c:10]([CH3:9])[c:40]2[c:15]1[cH:16][cH:17][n:18]2[CH2:19][c:20]1[cH:21][cH:22][c:23]([O:24][Si:25]([CH:26]([CH3:27])[CH3:28])([CH:29]([CH3:30])[CH3:31])[CH:32]([CH3:33])[CH3:34])[c:35]([CH:36]([CH3:37])[CH3:38])[cH:39]1,,"[('b', 15, 547)]",4537
7523,CC[O:1][C:2](=[O:3])[c:4]1[cH:5][n:6](-[c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][c:13]2[F:14])[c:15]2[c:16]([cH:17][n:18][c:19]([Cl:20])[c:21]2[F:22])[c:23]1=[O:24],[OH:1][C:2](=[O:3])[c:4]1[cH:5][n:6](-[c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][c:13]2[F:14])[c:15]2[c:16]([cH:17][n:18][c:19]([Cl:20])[c:21]2[F:22])[c:23]1=[O:24],,"[('a', 0, 121)]",1123
7524,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[CH2:9][CH2:10][N:11]=[C:12]2[CH:13]1[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[CH2:9][CH2:10][NH:11][CH:12]2[CH:13]1[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]1,,"[('b', 20, 461), ('b', 21, 461)]",37
7525,CO[C:1](=[O:2])[c:3]1[cH:4][n:5]([CH3:6])[c:7](-[c:8]2[cH:9][cH:10][c:11]([I:12])[cH:13][cH:14]2)[n:15]1,[CH2:1]([OH:2])[c:3]1[cH:4][n:5]([CH3:6])[c:7](-[c:8]2[cH:9][cH:10][c:11]([I:12])[cH:13][cH:14]2)[n:15]1,,"[('a', 0, 117)]",228
7526,O[C:1](=[O:2])[C@@H:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH2:11][N:12]1[C:13](=[O:14])[O:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1.[CH3:23][O:24][CH2:25][C@@H:26]([NH:27][CH2:28][c:29]1[cH:30][cH:31][c:32]2[nH:33][cH:34][cH:35][c:36]2[cH:37]1)[c:38]1[cH:39][cH:40][cH:41][cH:42][cH:43]1,[C:1](=[O:2])([C@@H:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH2:11][N:12]1[C:13](=[O:14])[O:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[N:27]([C@H:26]([CH2:25][O:24][CH3:23])[c:38]1[cH:39][cH:40][cH:41][cH:42][cH:43]1)[CH2:28][c:29]1[cH:30][cH:31][c:32]2[nH:33][cH:34][cH:35][c:36]2[cH:37]1,,"[('b', 43, 547)]",4537
7527,Br[CH2:1][C:2]([O:3][C:4]([CH3:5])([CH3:6])[CH3:7])=[O:8].[NH2:9][CH2:10][CH2:11][OH:12],[CH2:1]([C:2]([O:3][C:4]([CH3:5])([CH3:6])[CH3:7])=[O:8])[NH:9][CH2:10][CH2:11][OH:12],,"[('b', 15, 543)]",955
7528,[CH3:10][CH2:11][O:12][C:13](=[O:14])[CH2:15][O:16][c:17]1[cH:18][cH:19][c:20]([S:21][c:22]2[cH:23][c:24]([OH:25])[cH:26][c:27]([C:28]#[C:29][c:30]3[cH:31][cH:32][c:33]([Cl:34])[cH:35][cH:36]3)[cH:37]2)[cH:38][c:39]1[Cl:40].O[CH2:1][CH2:2][CH2:3][N:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1,[CH2:1]([CH2:2][CH2:3][N:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1)[O:25][c:24]1[cH:23][c:22]([S:21][c:20]2[cH:19][cH:18][c:17]([O:16][CH2:15][C:13]([O:12][CH2:11][CH3:10])=[O:14])[c:39]([Cl:40])[cH:38]2)[cH:37][c:27]([C:28]#[C:29][c:30]2[cH:31][cH:32][c:33]([Cl:34])[cH:35][cH:36]2)[cH:26]1,,"[('b', 17, 539)]",804
7529,[N:1]#[C:2][c:3]1[cH:4][c:5]([F:6])[cH:7][c:8]([F:9])[cH:10]1,[NH2:1][CH2:2][c:3]1[cH:4][c:5]([F:6])[cH:7][c:8]([F:9])[cH:10]1,,"[('b', 0, 515), ('b', 1, 515)]",179
7530,CC(C)(C)OC(=O)[NH:1][CH:2]([C:3]([N:4]1[CH2:5][CH2:6][N:7]([CH:8]([C:9]([NH:10][CH3:11])=[O:12])[CH2:13][c:14]2[cH:15][cH:16][c:17]3[cH:18][cH:19][cH:20][cH:21][c:22]3[cH:23]2)[CH2:24][CH:25]1[CH2:26][O:27][CH3:28])=[O:29])[CH2:30][c:31]1[cH:32][cH:33][c:34]([F:35])[cH:36][cH:37]1,[NH2:1][CH:2]([C:3]([N:4]1[CH2:5][CH2:6][N:7]([CH:8]([C:9]([NH:10][CH3:11])=[O:12])[CH2:13][c:14]2[cH:15][cH:16][c:17]3[cH:18][cH:19][cH:20][cH:21][c:22]3[cH:23]2)[CH2:24][CH:25]1[CH2:26][O:27][CH3:28])=[O:29])[CH2:30][c:31]1[cH:32][cH:33][c:34]([F:35])[cH:36][cH:37]1,,"[('a', 0, 123)]",1493
7531,O=[C:1]([CH3:2])[CH2:3][CH2:4][c:5]1[n:6][c:7]([CH2:8][n:9]2[cH:10][n:11][c:12]3[c:13]2[c:14](=[O:15])[n:16]([CH3:17])[c:18](=[O:19])[n:20]3[CH3:21])[n:22][o:23]1.[CH3:24][CH:25]([CH3:26])[NH2:27],[CH:1]([CH3:2])([CH2:3][CH2:4][c:5]1[n:6][c:7]([CH2:8][n:9]2[cH:10][n:11][c:12]3[c:13]2[c:14](=[O:15])[n:16]([CH3:17])[c:18](=[O:19])[n:20]3[CH3:21])[n:22][o:23]1)[NH:27][CH:25]([CH3:24])[CH3:26],,"[('b', 45, 544)]",1299
7532,[CH3:1][O:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([CH:9]([OH:10])[c:11]3[cH:12][cH:13][c:14]([CH3:15])[n:16][c:17]3[CH3:18])[cH:19][c:20]2[c:21]([Cl:22])[c:23]1[CH2:24][CH:25]([CH3:26])[CH3:27],[CH3:1][O:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9](=[O:10])[c:11]3[cH:12][cH:13][c:14]([CH3:15])[n:16][c:17]3[CH3:18])[cH:19][c:20]2[c:21]([Cl:22])[c:23]1[CH2:24][CH:25]([CH3:26])[CH3:27],,"[('b', 16, 529), ('b', 17, 529)]",413
7533,C[O:1][C:2](=[O:3])[C:4]1=[CH:5][C@@H:6]([OH:7])[C@@H:8]([NH:9][C:10]([CH3:11])=[O:12])[C@H:13]([C:14](=[O:15])[NH:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[O:28]1,[OH:1][C:2](=[O:3])[C:4]1=[CH:5][C@@H:6]([OH:7])[C@@H:8]([NH:9][C:10]([CH3:11])=[O:12])[C@H:13]([C:14](=[O:15])[NH:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[O:28]1,,"[('a', 0, 124)]",1797
7534,Br[c:1]1[cH:2][cH:3][c:4]([C@H:5]2[C@H:6]([NH:7][C:8]([O:9][C:10]([CH3:11])([CH3:12])[CH3:13])=[O:14])[CH2:15]2)[cH:16][n:17]1.OB(O)[c:18]1[cH:19][cH:20][cH:21][c:22]([C:23]([F:24])([F:25])[F:26])[cH:27]1,[c:1]1(-[c:18]2[cH:19][cH:20][cH:21][c:22]([C:23]([F:24])([F:25])[F:26])[cH:27]2)[cH:2][cH:3][c:4]([C@H:5]2[C@H:6]([NH:7][C:8]([O:9][C:10]([CH3:11])([CH3:12])[CH3:13])=[O:14])[CH2:15]2)[cH:16][n:17]1,,"[('b', 0, 541)]",900
7535,Cl[c:1]1[n:2][cH:3][n:4][c:5]2[cH:6][cH:7][s:8][c:9]12.[CH3:10][NH:11][c:12]1[cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18][cH:19]1,[c:1]1([N:11]([CH3:10])[c:12]2[cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18][cH:19]2)[n:2][cH:3][n:4][c:5]2[cH:6][cH:7][s:8][c:9]12,,"[('b', 1, 545)]",1916
7536,[CH3:7][CH2:8][O:9][C:10](=[O:11])[CH2:12][O:13][c:14]1[c:15]([C:16](=[O:17])[O:18][CH3:19])[s:20][c:21](-[c:22]2[cH:23][cH:24][c:25]([CH2:26][NH2:27])[cH:28][cH:29]2)[c:30]1[Br:31].[CH3:1][CH:2]([CH3:3])[N:4]=[C:5]=[O:6],[CH3:1][CH:2]([CH3:3])[NH:4][C:5](=[O:6])[NH:27][CH2:26][c:25]1[cH:24][cH:23][c:22](-[c:21]2[s:20][c:15]([C:16](=[O:17])[O:18][CH3:19])[c:14]([O:13][CH2:12][C:10]([O:9][CH2:8][CH3:7])=[O:11])[c:30]2[Br:31])[cH:29][cH:28]1,,"[('b', 11, 536)]",566
7537,CC[O:1][C:2]([CH:3]([CH2:4][CH2:5][CH3:6])[c:7]1[c:8]([CH3:9])[n:10][c:11]2[cH:12][cH:13][n:14][n:15]2[c:16]1[N:17]1[CH2:18][CH2:19][C@@H:20]([NH:21][S:22](=[O:23])(=[O:24])[c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]2)[CH2:32]1)=[O:33],[OH:1][C:2]([CH:3]([CH2:4][CH2:5][CH3:6])[c:7]1[c:8]([CH3:9])[n:10][c:11]2[cH:12][cH:13][n:14][n:15]2[c:16]1[N:17]1[CH2:18][CH2:19][C@@H:20]([NH:21][S:22](=[O:23])(=[O:24])[c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]2)[CH2:32]1)=[O:33],,"[('a', 0, 121)]",1123
7538,[O:12]=[c:13]1[nH:14][c:15]2[cH:16][c:17]([N+:18](=[O:19])[O-:20])[cH:21][cH:22][c:23]2[o:24]1.Br[CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][C:8]([O:9][CH3:10])=[O:11],[CH2:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][C:8]([O:9][CH3:10])=[O:11])[n:14]1[c:13](=[O:12])[o:24][c:23]2[c:15]1[cH:16][c:17]([N+:18](=[O:19])[O-:20])[cH:21][cH:22]2,,"[('b', 21, 534)]",457
7539,[CH3:13][n:14]1[c:15](=[O:16])[nH:17][c:18](=[O:19])[c:20]2[c:21]1[n:22][c:23]([O:24][c:25]1[cH:26][cH:27][cH:28][c:29]([O:30][C:31]([F:32])([F:33])[F:34])[cH:35]1)[n:36]2[CH2:37][O:38][CH2:39][CH2:40][Si:41]([CH3:42])([CH3:43])[CH3:44].Cl[CH2:1][CH2:2][O:3][CH2:4][CH2:5][O:6][CH:7]1[CH2:8][CH2:9][CH2:10][CH2:11][O:12]1,[CH2:1]([CH2:2][O:3][CH2:4][CH2:5][O:6][CH:7]1[CH2:8][CH2:9][CH2:10][CH2:11][O:12]1)[n:17]1[c:15](=[O:16])[n:14]([CH3:13])[c:21]2[c:20]([c:18]1=[O:19])[n:36]([CH2:37][O:38][CH2:39][CH2:40][Si:41]([CH3:42])([CH3:43])[CH3:44])[c:23]([O:24][c:25]1[cH:26][cH:27][cH:28][c:29]([O:30][C:31]([F:32])([F:33])[F:34])[cH:35]1)[n:22]2,,"[('b', 23, 524)]",307
7540,O=[C:1]1[CH2:2][CH2:3][CH:4]([c:5]2[c:6]([CH2:7][NH:8][CH3:9])[c:10]([C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][cH:19][cH:20]2)[CH2:21][CH2:22]1.[CH3:23][NH2:24],[C@H:1]1([NH:24][CH3:23])[CH2:2][CH2:3][C@H:4]([c:5]2[c:6]([CH2:7][NH:8][CH3:9])[c:10]([C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][cH:19][cH:20]2)[CH2:21][CH2:22]1,,"[('b', 1, 544)]",1299
7541,[NH2:10][c:11]1[cH:12][cH:13][cH:14][c:15]2[c:16]1[C:17](=[O:18])[c:19]1[s:20][cH:21][cH:22][c:23]1[CH2:24][S:25]2.O[C:1]([C@:2]([CH3:3])([OH:4])[C:5]([F:6])([F:7])[F:8])=[O:9],[C:1]([C@:2]([CH3:3])([OH:4])[C:5]([F:6])([F:7])[F:8])(=[O:9])[NH:10][c:11]1[cH:12][cH:13][cH:14][c:15]2[c:16]1[C:17](=[O:18])[c:19]1[s:20][cH:21][cH:22][c:23]1[CH2:24][S:25]2,,"[('b', 17, 547)]",4537
7542,[O:4]=[CH:5][c:6]1[cH:7][c:8]([Cl:9])[cH:10][cH:11][c:12]1[OH:13].I[CH:1]([CH3:2])[CH3:3],[CH:1]([CH3:2])([CH3:3])[O:13][c:12]1[c:6]([CH:5]=[O:4])[cH:7][c:8]([Cl:9])[cH:10][cH:11]1,,"[('b', 5, 525)]",307
7543,CCO[C:1](=[O:2])[c:3]1[c:4]([OH:5])[c:6]2[n:7][cH:8][c:9]([CH2:10][c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[cH:17][c:18]2[n:19]([CH2:20][CH:21]2[CH2:22][CH2:23]2)[c:24]1=[O:25].[CH3:26][O:27][CH2:28][CH2:29][NH2:30],[C:1](=[O:2])([c:3]1[c:4]([OH:5])[c:6]2[n:7][cH:8][c:9]([CH2:10][c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[cH:17][c:18]2[n:19]([CH2:20][CH:21]2[CH2:22][CH2:23]2)[c:24]1=[O:25])[NH:30][CH2:29][CH2:28][O:27][CH3:26],,"[('b', 49, 523)]",287
7544,O=[N+:1]([O-])[c:2]1[c:3]([OH:4])[c:5]([Br:6])[cH:7][c:8]([CH:9]2[C:10]3=[C:11]([CH2:12][CH:13]([CH2:14][CH2:15][CH3:16])[CH2:17][C:18]3=[O:19])[NH:20][C:21]([CH3:22])=[C:23]2[C:24]#[N:25])[cH:26]1,[NH2:1][c:2]1[c:3]([OH:4])[c:5]([Br:6])[cH:7][c:8]([CH:9]2[C:10]3=[C:11]([CH2:12][CH:13]([CH2:14][CH2:15][CH3:16])[CH2:17][C:18]3=[O:19])[NH:20][C:21]([CH3:22])=[C:23]2[C:24]#[N:25])[cH:26]1,,"[('a', 0, 122)]",1277
7545,Br[CH2:1][C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][cH:10]1)=[O:11].[CH3:12][C:13](=[O:14])[O-:15],[CH2:1]([C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][cH:10]1)=[O:11])[O:15][C:13]([CH3:12])=[O:14],,"[('b', 21, 429)]",24
