id,class,reactants>reagents>production
US04447542,UNK,[CH2:1]=[C:2]([CH3:3])[c:4]1[cH:5][cH:6][c:7]([Br:8])[cH:9][cH:10]1>>[CH3:1][CH:2]([CH3:3])[c:4]1[cH:5][cH:6][c:7]([Br:8])[cH:9][cH:10]1
US05332757,UNK,O=[C:1]([c:2]1[cH:3][cH:4][c:5]([S:6][c:7]2[cH:8][cH:9][cH:10][c:11]([C:12]3([CH3:13])[CH2:14][O:15][CH:16]([CH2:17][CH3:18])[O:19]3)[cH:20]2)[cH:21][cH:22]1)[CH3:23].[NH2:24][OH:25]>>[C:1]([c:2]1[cH:3][cH:4][c:5]([S:6][c:7]2[cH:8][cH:9][cH:10][c:11]([C:12]3([CH3:13])[CH2:14][O:15][CH:16]([CH2:17][CH3:18])[O:19]3)[cH:20]2)[cH:21][cH:22]1)([CH3:23])=[N:24][OH:25]
US20060058542A1,UNK,Cl[c:1]1[cH:2][cH:3][c:4]([O:5][CH3:6])[cH:7][cH:8]1.OB(O)[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1>>[c:1]1(-[c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[cH:2][cH:3][c:4]([O:5][CH3:6])[cH:7][cH:8]1
US20070179178A1,UNK,O[C:1]([c:2]1[cH:3][cH:4][n:5]2[cH:6][c:7](-[c:8]3[c:9]([CH3:10])[o:11][n:12][c:13]3-[c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[n:20][c:21]2[cH:22]1)=[O:23].[NH2:24][CH:25]1[CH2:26][CH2:27][CH2:28]1>>[C:1]([c:2]1[cH:3][cH:4][n:5]2[cH:6][c:7](-[c:8]3[c:9]([CH3:10])[o:11][n:12][c:13]3-[c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[n:20][c:21]2[cH:22]1)(=[O:23])[NH:24][CH:25]1[CH2:26][CH2:27][CH2:28]1
US20090143409A1,UNK,Cl[c:1]1[n:2][cH:3][c:4]([C:5](=[O:6])[OH:7])[cH:8][c:9]1[Br:10].[OH:11][CH2:12][CH:13]1[CH2:14][CH2:15]1>>[c:1]1([O:11][CH2:12][CH:13]2[CH2:14][CH2:15]2)[n:2][cH:3][c:4]([C:5](=[O:6])[OH:7])[cH:8][c:9]1[Br:10]
US06218429B1,UNK,CCC(=O)O[C:3]([CH2:2][CH3:1])=[O:4].[NH2:5][CH2:6][CH2:7][c:8]1[cH:9][nH:10][c:11]2[cH:12][cH:13][c:14]([OH:15])[cH:16][c:17]12>>[CH3:1][CH2:2][C:3](=[O:4])[NH:5][CH2:6][CH2:7][c:8]1[cH:9][nH:10][c:11]2[cH:12][cH:13][c:14]([OH:15])[cH:16][c:17]12
US07368578B2,UNK,O=[CH:1][c:2]1[c:3]([O:4][CH2:5][c:6]2[cH:7][c:8]([O:9][CH3:10])[c:11]([O:12][CH2:13][c:14]3[n:15][c:16](-[c:17]4[cH:18][cH:19][cH:20][o:21]4)[o:22][c:23]3[CH3:24])[cH:25][cH:26]2)[n:27][n:28](-[c:29]2[cH:30][cH:31][cH:32][cH:33][cH:34]2)[cH:35]1.[N:36]#[C:37][CH2:38][C:39]#[N:40]>>[CH:1]([c:2]1[c:3]([O:4][CH2:5][c:6]2[cH:7][c:8]([O:9][CH3:10])[c:11]([O:12][CH2:13][c:14]3[n:15][c:16](-[c:17]4[cH:18][cH:19][cH:20][o:21]4)[o:22][c:23]3[CH3:24])[cH:25][cH:26]2)[n:27][n:28](-[c:29]2[cH:30][cH:31][cH:32][cH:33][cH:34]2)[cH:35]1)=[C:38]([C:37]#[N:36])[C:39]#[N:40]
US07919498B2,UNK,Cl[CH2:1][c:2]1[c:3](-[c:4]2[c:5]([CH3:6])[cH:7][cH:8][cH:9][cH:10]2)[n:11][c:12]2[c:13]([CH3:14])[cH:15][cH:16][cH:17][c:18]2[cH:19]1.[NH2:20][c:21]1[n:22][cH:23][n:24][c:25]2[nH:26][n:27][c:28]([I:29])[c:30]12>>[CH2:1]([c:2]1[c:3](-[c:4]2[c:5]([CH3:6])[cH:7][cH:8][cH:9][cH:10]2)[n:11][c:12]2[c:13]([CH3:14])[cH:15][cH:16][cH:17][c:18]2[cH:19]1)[n:26]1[c:25]2[n:24][cH:23][n:22][c:21]([NH2:20])[c:30]2[c:28]([I:29])[n:27]1
US20090318477A1,UNK,Cl[c:1]1[c:2]([CH2:3][CH:4]=[CH2:5])[c:6]([Cl:7])[n:8][c:9]([CH3:10])[n:11]1.[CH3:12][S:13](=[O:14])(=[O:15])[c:16]1[cH:17][cH:18][c:19]([NH2:20])[c:21]([F:22])[cH:23]1>>[c:1]1([NH:20][c:19]2[cH:18][cH:17][c:16]([S:13]([CH3:12])(=[O:14])=[O:15])[cH:23][c:21]2[F:22])[c:2]([CH2:3][CH:4]=[CH2:5])[c:6]([Cl:7])[n:8][c:9]([CH3:10])[n:11]1
US20080181866A1,UNK,O[C:19]([C@H:18]1[N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[C@H:9]([c:10]2[cH:11][cH:12][cH:13][n:14][cH:15]2)[S:16][CH2:17]1)=[O:20].[NH2:21][c:22]1[n:23][c:24](-[c:25]2[cH:26][cH:27][c:28]([C:29](=[O:30])[NH:31][CH:32]3[CH2:33][CH2:34]3)[cH:35][cH:36]2)[cH:37][s:38]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH:9]([c:10]2[cH:11][cH:12][cH:13][n:14][cH:15]2)[S:16][CH2:17][CH:18]1[C:19](=[O:20])[NH:21][c:22]1[n:23][c:24](-[c:25]2[cH:26][cH:27][c:28]([C:29](=[O:30])[NH:31][CH:32]3[CH2:33][CH2:34]3)[cH:35][cH:36]2)[cH:37][s:38]1
US07968542B2,UNK,CO[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[NH:9][CH2:10][c:11]2[cH:12][cH:13][n:14][n:15]2[CH3:16])[s:17]1.[NH2:18][NH2:19]>>[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[NH:9][CH2:10][c:11]2[cH:12][cH:13][n:14][n:15]2[CH3:16])[s:17]1)[NH:18][NH2:19]
US07432257B2,UNK,Br[c:1]1[c:2]([O:3][c:4]2[c:5]([NH:6][CH:7]3[CH2:8][CH2:9][N:10]([C:11]([O:12][C:13]([CH3:14])([CH3:15])[CH3:16])=[O:17])[CH2:18][CH2:19]3)[cH:20][cH:21][c:22]([C:23]#[N:24])[cH:25]2)[cH:26][cH:27][cH:28][cH:29]1>>[c:1]12[c:2]([cH:26][cH:27][cH:28][cH:29]1)[O:3][c:4]1[c:5]([cH:20][cH:21][c:22]([C:23]#[N:24])[cH:25]1)[N:6]2[CH:7]1[CH2:8][CH2:9][N:10]([C:11]([O:12][C:13]([CH3:14])([CH3:15])[CH3:16])=[O:17])[CH2:18][CH2:19]1
US06465507B2,UNK,O=[CH:1][c:2]1[nH:3][cH:4][c:5]2[c:6]1[CH2:7][CH2:8][O:9][C:10]2=[O:11].[O:12]=[C:13]1[CH2:14][c:15]2[cH:16][c:17]([S:18](=[O:19])(=[O:20])[N:21]3[CH2:22][CH2:23][c:24]4[cH:25][c:26]([Br:27])[cH:28][cH:29][c:30]43)[cH:31][cH:32][c:33]2[NH:34]1>>[CH:1]([c:2]1[nH:3][cH:4][c:5]2[c:6]1[CH2:7][CH2:8][O:9][C:10]2=[O:11])=[C:14]1[C:13](=[O:12])[NH:34][c:33]2[c:15]1[cH:16][c:17]([S:18](=[O:19])(=[O:20])[N:21]1[CH2:22][CH2:23][c:24]3[cH:25][c:26]([Br:27])[cH:28][cH:29][c:30]31)[cH:31][cH:32]2
US20120225904A1,UNK,CC1(C)OB([c:1]2[c:2]([CH3:3])[c:4]([F:5])[cH:6][c:7]([C:8](=[O:9])[NH:10][CH:11]3[CH2:12][CH2:13]3)[cH:14]2)OC1(C)C.I[c:15]1[cH:16][c:17]2[n:18][nH:19][c:20](=[O:21])[n:22]2[cH:23][cH:24]1>>[c:1]1(-[c:15]2[cH:16][c:17]3[n:18][nH:19][c:20](=[O:21])[n:22]3[cH:23][cH:24]2)[c:2]([CH3:3])[c:4]([F:5])[cH:6][c:7]([C:8](=[O:9])[NH:10][CH:11]2[CH2:12][CH2:13]2)[cH:14]1
US08481574B2,UNK,O=[C:1]([CH2:2][CH3:3])[CH2:4][CH3:5].[CH3:6][C:7]([CH3:8])([CH3:9])[S:10]([NH2:11])=[O:12]>>[C:1]([CH2:2][CH3:3])([CH2:4][CH3:5])=[N:11][S:10]([C:7]([CH3:6])([CH3:8])[CH3:9])=[O:12]
US08138168B1,UNK,CC(C)(C)OC(=O)[NH:1][C@@H:2]([CH2:3][C:4]([N:5]1[CH2:6][CH2:7][CH2:8][C@@H:9]([c:10]2[n:11]([CH2:12][CH2:13][CH2:14][O:15][CH3:16])[c:17]3[c:18]([n:19]2)[cH:20][cH:21][cH:22][cH:23]3)[CH2:24]1)=[O:25])[CH2:26][c:27]1[cH:28][cH:29][c:30]([N:31]2[CH2:32][CH2:33][CH2:34][C:35]2=[O:36])[cH:37][cH:38]1>>[NH2:1][C@@H:2]([CH2:3][C:4]([N:5]1[CH2:6][CH2:7][CH2:8][C@@H:9]([c:10]2[n:11]([CH2:12][CH2:13][CH2:14][O:15][CH3:16])[c:17]3[c:18]([n:19]2)[cH:20][cH:21][cH:22][cH:23]3)[CH2:24]1)=[O:25])[CH2:26][c:27]1[cH:28][cH:29][c:30]([N:31]2[CH2:32][CH2:33][CH2:34][C:35]2=[O:36])[cH:37][cH:38]1
US05354759,UNK,[CH3:1][CH2:2][S:3][c:4]1[n:5][c:6]2[c:7]([CH3:8])[cH:9][cH:10][n:11][c:12]2[n:13]1[CH2:14][c:15]1[cH:16][cH:17][c:18](-[n:19]2[cH:20][c:21]([Cl:22])[cH:23][c:24]2[C:25]#[N:26])[cH:27][cH:28]1.[N-:29]=[N+:30]=[N-:31]>>[CH3:1][CH2:2][S:3][c:4]1[n:5][c:6]2[c:7]([CH3:8])[cH:9][cH:10][n:11][c:12]2[n:13]1[CH2:14][c:15]1[cH:16][cH:17][c:18](-[n:19]2[cH:20][c:21]([Cl:22])[cH:23][c:24]2-[c:25]2[n:26][n:29][n:30][nH:31]2)[cH:27][cH:28]1
US03950380,UNK,O=[N+:1]([O-])[c:2]1[cH:3][c:4]([C:5](=[O:6])[OH:7])[cH:8][c:9]([S:10][CH2:11][CH2:12][CH:13]([CH3:14])[CH3:15])[c:16]1-[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[NH2:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[OH:7])[cH:8][c:9]([S:10][CH2:11][CH2:12][CH:13]([CH3:14])[CH3:15])[c:16]1-[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1
US20130172556A1,UNK,CC[O:1][C:2](=[O:3])[C:4](=[O:5])[C:6]1([CH2:7][CH3:8])[CH:9]=[C:10]([CH2:11][CH3:12])[CH:13]=[C:14]([CH2:15][CH3:16])[CH2:17]1>>[OH:1][C:2](=[O:3])[C:4](=[O:5])[C:6]1([CH2:7][CH3:8])[CH:9]=[C:10]([CH2:11][CH3:12])[CH:13]=[C:14]([CH2:15][CH3:16])[CH2:17]1
US08288403B2,UNK,Br[c:1]1[cH:2][c:3]([O:4][CH3:5])[c:6](-[n:7]2[cH:8][n:9][c:10]([CH3:11])[cH:12]2)[cH:13][cH:14]1.[NH2:15][c:16]1[cH:17][cH:18][n:19]([CH2:20][c:21]2[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]2)[n:28]1>>[c:1]1([NH:15][c:16]2[cH:17][cH:18][n:19]([CH2:20][c:21]3[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]3)[n:28]2)[cH:2][c:3]([O:4][CH3:5])[c:6](-[n:7]2[cH:8][n:9][c:10]([CH3:11])[cH:12]2)[cH:13][cH:14]1
US20140271662A1,UNK,O[C:1](=[O:2])[CH2:3][CH:4]([c:5]1[cH:6][cH:7][c:8]([Cl:9])[cH:10][cH:11]1)[c:12]1[cH:13][cH:14][c:15]([Br:16])[cH:17][cH:18]1.[NH3:19]>>[C:1](=[O:2])([CH2:3][CH:4]([c:5]1[cH:6][cH:7][c:8]([Cl:9])[cH:10][cH:11]1)[c:12]1[cH:13][cH:14][c:15]([Br:16])[cH:17][cH:18]1)[NH2:19]
US20030204113A1,UNK,[CH3:13][O:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH2:20][NH2:21])[cH:22]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]([CH2:8][N:9]=[C:10]=[S:11])[cH:12]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]([CH2:8][NH:9][C:10](=[S:11])[NH:21][CH2:20][c:19]2[cH:18][cH:17][cH:16][c:15]([O:14][CH3:13])[cH:22]2)[cH:12]1
US20150111877A1,UNK,CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7].[CH3:8][c:9]1[cH:10][cH:11][cH:12][c:13]([S:14](=[O:15])(=[O:16])[N:17]2[CH2:18][CH:19]([NH2:20])[CH2:21][O:22][c:23]3[n:24][cH:25][c:26]([NH:27][C:28](=[O:29])[C:30]([F:31])([F:32])[F:33])[cH:34][c:35]32)[cH:36]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:20][CH:19]1[CH2:18][N:17]([S:14]([c:13]2[cH:12][cH:11][cH:10][c:9]([CH3:8])[cH:36]2)(=[O:15])=[O:16])[c:35]2[c:23]([n:24][cH:25][c:26]([NH:27][C:28](=[O:29])[C:30]([F:31])([F:32])[F:33])[cH:34]2)[O:22][CH2:21]1
US20080188460A1,UNK,[O:1]=[CH:2][c:3]1[cH:4][n:5][cH:6][cH:7][c:8]1[Br:9]>>[OH:1][CH2:2][c:3]1[cH:4][n:5][cH:6][cH:7][c:8]1[Br:9]
US20040102437A1,UNK,O=[C:1]1[CH2:2][CH2:3][CH:4]([NH:5][c:6]2[cH:7][cH:8][c:9]3[nH:10][n:11][cH:12][c:13]3[cH:14]2)[CH2:15][CH2:16]1.[NH4+:17]>>[CH:1]1([NH2:17])[CH2:2][CH2:3][CH:4]([NH:5][c:6]2[cH:7][cH:8][c:9]3[nH:10][n:11][cH:12][c:13]3[cH:14]2)[CH2:15][CH2:16]1
US05464830,UNK,O[C:1]([CH2:2][CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[CH2:12][c:13]1[cH:14][cH:15][cH:16][o:17]1)=[O:18].[NH2:19][NH:20][C:21](=[O:22])[N:23]1[CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][c:30]2[O:31][c:32]2[cH:33][cH:34][c:35]([Cl:36])[cH:37][c:38]21>>[C:1]([CH2:2][CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[CH2:12][c:13]1[cH:14][cH:15][cH:16][o:17]1)(=[O:18])[NH:19][NH:20][C:21](=[O:22])[N:23]1[CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][c:30]2[O:31][c:32]2[cH:33][cH:34][c:35]([Cl:36])[cH:37][c:38]21
US20080015223A1,UNK,Cl[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([I:7])[cH:8][cH:9]1.[CH3:10][n:11]1[n:12][cH:13][c:14]([Br:15])[c:16]1[NH2:17]>>[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([I:7])[cH:8][cH:9]1)[NH:17][c:16]1[n:11]([CH3:10])[n:12][cH:13][c:14]1[Br:15]
US05547919,UNK,Br[CH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]([O:7][c:8]2[c:9]([C:10](=[CH:11][O:12][CH3:13])[C:14](=[O:15])[O:16][CH3:17])[c:18]([O:19][CH3:20])[n:21][cH:22][n:23]2)[cH:24]1.[N:25]#[C:26][c:27]1[cH:28][cH:29][cH:30][cH:31][c:32]1[OH:33]>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([O:7][c:8]2[c:9]([C:10](=[CH:11][O:12][CH3:13])[C:14](=[O:15])[O:16][CH3:17])[c:18]([O:19][CH3:20])[n:21][cH:22][n:23]2)[cH:24]1)[O:33][c:32]1[c:27]([C:26]#[N:25])[cH:28][cH:29][cH:30][cH:31]1
US20100056618A1,UNK,I[CH2:1][CH3:2].[OH:3][c:4]1[cH:5][cH:6][c:7]([CH2:8][c:9]2[cH:10][c:11]([Br:12])[cH:13][cH:14][c:15]2[F:16])[cH:17][cH:18]1>>[CH2:1]([CH3:2])[O:3][c:4]1[cH:5][cH:6][c:7]([CH2:8][c:9]2[cH:10][c:11]([Br:12])[cH:13][cH:14][c:15]2[F:16])[cH:17][cH:18]1
US07087576B2,UNK,CC(C)(C)OC(=O)[NH:1][CH:2]([C:3]([NH:4][CH:5]([C:6]([O:7][CH3:8])=[O:9])[CH2:10][c:11]1[cH:12][cH:13][c:14]([O:15][c:16]2[cH:17][cH:18][c:19]([CH:20]=[C:21]3[S:22][C:23](=[O:24])[NH:25][C:26]3=[O:27])[cH:28][cH:29]2)[cH:30][cH:31]1)=[O:32])[CH2:33][CH2:34][S:35][CH3:36]>>[NH2:1][CH:2]([C:3]([NH:4][CH:5]([C:6]([O:7][CH3:8])=[O:9])[CH2:10][c:11]1[cH:12][cH:13][c:14]([O:15][c:16]2[cH:17][cH:18][c:19]([CH:20]=[C:21]3[S:22][C:23](=[O:24])[NH:25][C:26]3=[O:27])[cH:28][cH:29]2)[cH:30][cH:31]1)=[O:32])[CH2:33][CH2:34][S:35][CH3:36]
US20020091148A1,UNK,N[NH:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.O=[C:8]([C:9]([O:10][CH2:11][CH3:12])=[O:13])[CH2:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1>>[nH:1]1[c:2]2[c:3]([cH:4][cH:5][cH:6][cH:7]2)[c:14]([CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[c:8]1[C:9]([O:10][CH2:11][CH3:12])=[O:13]
US20110207701A1,UNK,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]1[B:8]([OH:9])[O:10][CH2:11]2>>[NH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]1[B:8]([OH:9])[O:10][CH2:11]2
US20060264460A1,UNK,Cl[c:1]1[c:2]([C:3]#[N:4])[cH:5][n:6][c:7]2[c:8]([Br:9])[cH:10][c:11]([N+:12](=[O:13])[O-:14])[cH:15][c:16]12.[NH2:17][CH:18]1[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24]1>>[c:1]1([NH:17][CH:18]2[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24]2)[c:2]([C:3]#[N:4])[cH:5][n:6][c:7]2[c:8]([Br:9])[cH:10][c:11]([N+:12](=[O:13])[O-:14])[cH:15][c:16]12
US20050130989A1,UNK,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][N:4]([C:5]([c:6]2[cH:7][c:8]([CH3:9])[n:10][n:11]2-[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)=[O:18])[CH2:19][CH2:20]1>>[NH:1]1[CH2:2][CH2:3][N:4]([C:5]([c:6]2[cH:7][c:8]([CH3:9])[n:10][n:11]2-[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)=[O:18])[CH2:19][CH2:20]1
US20140243374A1,UNK,O[C:1]([c:2]1[cH:3][cH:4][c:5]([CH2:6][N:7]([CH:8]2[CH:9]([CH3:10])[CH2:11][CH2:12][CH2:13][CH2:14]2)[S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]2)[cH:25][cH:26]1)=[O:27].[CH3:28][C@@H:29]([NH2:30])[CH2:31][OH:32]>>[C:1]([c:2]1[cH:3][cH:4][c:5]([CH2:6][N:7]([CH:8]2[CH:9]([CH3:10])[CH2:11][CH2:12][CH2:13][CH2:14]2)[S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]2)[cH:25][cH:26]1)(=[O:27])[NH:30][C@H:29]([CH3:28])[CH2:31][OH:32]
US08399436B2,UNK,O=C1c2ccccc2C(=O)[N:1]1[c:2]1[cH:3][cH:4][n:5]([CH2:6][c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][c:13]2[C:14]([F:15])([F:16])[F:17])[n:18]1>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([CH2:6][c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][c:13]2[C:14]([F:15])([F:16])[F:17])[n:18]1
US20100130538A1,UNK,Cl[C:1](=[O:2])[CH:3]1[CH2:4][CH2:5]1.[CH3:6][c:7]1[cH:8][c:9]2[c:10]([C@@H:11]3[CH2:12][C@H:13]3[CH2:14][NH2:15])[cH:16][cH:17][cH:18][n:19]2[n:20]1>>[C:1](=[O:2])([CH:3]1[CH2:4][CH2:5]1)[NH:15][CH2:14][C@H:13]1[C@H:11]([c:10]2[c:9]3[cH:8][c:7]([CH3:6])[n:20][n:19]3[cH:18][cH:17][cH:16]2)[CH2:12]1
US20130012491A1,UNK,CC1(C)OB([c:1]2[cH:2][cH:3][c:4]([O:5][CH:6]([CH3:7])[CH3:8])[c:9]([Cl:10])[cH:11]2)OC1(C)C.I[c:12]1[n:13][cH:14][c:15]([Br:16])[cH:17][n:18]1>>[c:1]1(-[c:12]2[n:13][cH:14][c:15]([Br:16])[cH:17][n:18]2)[cH:2][cH:3][c:4]([O:5][CH:6]([CH3:7])[CH3:8])[c:9]([Cl:10])[cH:11]1
US20110136763A1,UNK,C[O:1][c:2]1[cH:3][c:4]([O:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[cH:12][c:13]([CH3:14])[c:15]1[CH:16]=[O:17]>>[OH:1][c:2]1[cH:3][c:4]([O:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[cH:12][c:13]([CH3:14])[c:15]1[CH:16]=[O:17]
US20140249139A1,UNK,CC[O:1][C:2](=[O:3])[c:4]1[cH:5][c:6]([F:7])[cH:8][c:9](-[c:10]2[n:11][cH:12][n:13][c:14]3[cH:15][cH:16][c:17]([Br:18])[cH:19][c:20]23)[cH:21]1>>[OH:1][C:2](=[O:3])[c:4]1[cH:5][c:6]([F:7])[cH:8][c:9](-[c:10]2[n:11][cH:12][n:13][c:14]3[cH:15][cH:16][c:17]([Br:18])[cH:19][c:20]23)[cH:21]1
US07615552B2,UNK,Cl[c:1]1[n:2][c:3]2[cH:4][c:5]([O:6][CH3:7])[c:8]([O:9][CH3:10])[cH:11][c:12]2[c:13]([NH2:14])[n:15]1.[CH2:16]1[CH2:17][O:18][CH2:19][CH2:20][NH:21]1>>[c:1]1([N:21]2[CH2:16][CH2:17][O:18][CH2:19][CH2:20]2)[n:2][c:3]2[cH:4][c:5]([O:6][CH3:7])[c:8]([O:9][CH3:10])[cH:11][c:12]2[c:13]([NH2:14])[n:15]1
US20140187553A1,UNK,CC1(C)OB([c:1]2[cH:2][cH:3][cH:4][cH:5][c:6]2[F:7])OC1(C)C.I[c:8]1[cH:9][n:10]([S:11]([c:12]2[cH:13][cH:14][c:15]([CH3:16])[cH:17][cH:18]2)(=[O:19])=[O:20])[c:21]2[c:22]1[cH:23][c:24](-[c:25]1[n:26][n:27][c:28]([S:29]([CH3:30])(=[O:31])=[O:32])[s:33]1)[cH:34][cH:35]2>>[c:1]1(-[c:8]2[cH:9][n:10]([S:11]([c:12]3[cH:13][cH:14][c:15]([CH3:16])[cH:17][cH:18]3)(=[O:19])=[O:20])[c:21]3[c:22]2[cH:23][c:24](-[c:25]2[n:26][n:27][c:28]([S:29]([CH3:30])(=[O:31])=[O:32])[s:33]2)[cH:34][cH:35]3)[cH:2][cH:3][cH:4][cH:5][c:6]1[F:7]
US20080255202A1,UNK,Cl[CH2:1][c:2]1[o:3][n:4][c:5]([CH2:6][c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)[n:14]1.[CH3:15][C:16]([CH3:17])([CH3:18])[O:19][C:20](=[O:21])[C:22]([CH3:23])([CH3:24])[S:25][c:26]1[cH:27][cH:28][c:29]([CH2:30][NH:31][CH2:32][c:33]2[cH:34][cH:35][cH:36][o:37]2)[cH:38][cH:39]1>>[CH2:1]([c:2]1[o:3][n:4][c:5]([CH2:6][c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)[n:14]1)[N:31]([CH2:30][c:29]1[cH:28][cH:27][c:26]([S:25][C:22]([C:20]([O:19][C:16]([CH3:15])([CH3:17])[CH3:18])=[O:21])([CH3:23])[CH3:24])[cH:39][cH:38]1)[CH2:32][c:33]1[cH:34][cH:35][cH:36][o:37]1
US20130190347A1,UNK,CCO[C:1](=[O:2])[CH2:3][CH2:4][n:5]1[c:6]2[c:7]([c:8]3[cH:9][c:10]([CH3:11])[cH:12][cH:13][c:14]13)[CH2:15][N:16]([CH3:17])[CH2:18][CH2:19]2.[NH3:20]>>[C:1](=[O:2])([CH2:3][CH2:4][n:5]1[c:6]2[c:7]([c:8]3[cH:9][c:10]([CH3:11])[cH:12][cH:13][c:14]13)[CH2:15][N:16]([CH3:17])[CH2:18][CH2:19]2)[NH2:20]
US20120065202A1,UNK,Cl[C:1]([C:2]([CH3:3])([CH3:4])[CH3:5])=[O:6].[CH3:7][CH2:8][NH:9][C:10](=[O:11])[NH:12][c:13]1[cH:14][cH:15][c:16](-[c:17]2[n:18][c:19]3[c:20]([c:21]([N:22]4[CH2:23][CH2:24][O:25][CH2:26][CH2:27]4)[n:28]2)[CH2:29][CH2:30][NH:31][CH2:32]3)[cH:33][cH:34]1>>[C:1]([C:2]([CH3:3])([CH3:4])[CH3:5])(=[O:6])[N:31]1[CH2:30][CH2:29][c:20]2[c:19]([n:18][c:17](-[c:16]3[cH:15][cH:14][c:13]([NH:12][C:10]([NH:9][CH2:8][CH3:7])=[O:11])[cH:34][cH:33]3)[n:28][c:21]2[N:22]2[CH2:23][CH2:24][O:25][CH2:26][CH2:27]2)[CH2:32]1
US20110172230A1,UNK,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][N:4]([CH2:5][c:6]2[cH:7][cH:8][c:9]([O:10][CH2:11][c:12]3[cH:13][cH:14][cH:15][c:16]([F:17])[cH:18]3)[cH:19][cH:20]2)[CH2:21][CH2:22]1>>[NH:1]1[CH2:2][CH2:3][N:4]([CH2:5][c:6]2[cH:7][cH:8][c:9]([O:10][CH2:11][c:12]3[cH:13][cH:14][cH:15][c:16]([F:17])[cH:18]3)[cH:19][cH:20]2)[CH2:21][CH2:22]1
US20060160832A1,UNK,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][c:5]([O:6][c:7]2[c:8]3[cH:9][cH:10][c:11](=[O:12])[nH:13][c:14]3[n:15][cH:16][cH:17]2)[cH:18][cH:19]1>>[NH2:1][c:2]1[cH:3][cH:4][c:5]([O:6][c:7]2[c:8]3[cH:9][cH:10][c:11](=[O:12])[nH:13][c:14]3[n:15][cH:16][cH:17]2)[cH:18][cH:19]1
