Unnamed: 0,Reactants,Products,Reagents,Labels,Frequency,Split,Mask
3968,[NH2:3][c:4]1[c:5]([CH2:6][C:7](=[O:8])[OH:9])[cH:10][cH:11][cH:12][c:13]1[C:14](=[O:15])[c:16]1[cH:17][cH:18][c:19]([Br:20])[cH:21][cH:22]1.I[CH2:1][CH3:2],[CH2:1]([CH3:2])[O:9][C:7]([CH2:6][c:5]1[c:4]([NH2:3])[c:13]([C:14](=[O:15])[c:16]2[cH:17][cH:18][c:19]([Br:20])[cH:21][cH:22]2)[cH:12][cH:11][cH:10]1)=[O:8],,"[('b', 3, 525)]",307,train,1
3969,O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([F:7])[c:8](-[n:9]2[cH:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][n:16][cH:17]3)[n:18][n:19]2)[cH:20]1.[CH3:21][O:22][c:23]1[c:24]([NH2:25])[cH:26][c:27]([C:28]([CH3:29])([CH3:30])[CH3:31])[cH:32][c:33]1[NH:34][S:35]([CH3:36])(=[O:37])=[O:38],[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([F:7])[c:8](-[n:9]2[cH:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][n:16][cH:17]3)[n:18][n:19]2)[cH:20]1)[NH:25][c:24]1[c:23]([O:22][CH3:21])[c:33]([NH:34][S:35]([CH3:36])(=[O:37])=[O:38])[cH:32][c:27]([C:28]([CH3:29])([CH3:30])[CH3:31])[cH:26]1,,"[('b', 39, 547)]",4537,train,1
3970,[CH3:1][CH:2]([CH3:3])[C@H:4]([NH:5][C:6](=[O:7])[O:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[C:16](=[O:17])[NH:18][C@@H:19]([CH3:20])[C:21](=[O:22])[NH:23][CH:24]([CH2:25][C:26](=[O:27])[O:28][C:29]([CH3:30])([CH3:31])[CH3:32])[C:33](=[O:34])[c:35]1[n:36][c:37]2[cH:38][cH:39][cH:40][cH:41][c:42]2[o:43]1,[CH3:1][CH:2]([CH3:3])[C@H:4]([NH:5][C:6](=[O:7])[O:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[C:16](=[O:17])[NH:18][C@@H:19]([CH3:20])[C:21](=[O:22])[NH:23][C@@H:24]([CH2:25][C:26](=[O:27])[O:28][C:29]([CH3:30])([CH3:31])[CH3:32])[CH:33]([OH:34])[c:35]1[n:36][c:37]2[cH:38][cH:39][cH:40][cH:41][c:42]2[o:43]1,,"[('b', 64, 537), ('b', 65, 537)]",573,train,1
3971,[CH3:8][c:9]1[cH:10][cH:11][c:12](-[n:13]2[n:14][c:15]([C:16]([CH3:17])([CH3:18])[CH3:19])[cH:20][c:21]2[NH:22][C:23](=[O:24])[NH:25][CH2:26][c:27]2[cH:28][cH:29][cH:30][cH:31][c:32]2[OH:33])[cH:34][c:35]1[O:36][CH2:37][c:38]1[cH:39][cH:40][cH:41][cH:42][cH:43]1.Cl[c:1]1[cH:2][cH:3][n:4][c:5]([Cl:6])[n:7]1,[c:1]1([O:33][c:32]2[c:27]([CH2:26][NH:25][C:23]([NH:22][c:21]3[n:13](-[c:12]4[cH:11][cH:10][c:9]([CH3:8])[c:35]([O:36][CH2:37][c:38]5[cH:39][cH:40][cH:41][cH:42][cH:43]5)[cH:34]4)[n:14][c:15]([C:16]([CH3:17])([CH3:18])[CH3:19])[cH:20]3)=[O:24])[cH:28][cH:29][cH:30][cH:31]2)[cH:2][cH:3][n:4][c:5]([Cl:6])[n:7]1,,"[('b', 1, 533)]",452,train,1
3972,O[C:1]([CH2:2][NH:3][C:4]([N:5]1[CH2:6][CH2:7][N:8]([c:9]2[cH:10][c:11]([NH2:12])[n:13][c:14]3[c:15]2[cH:16][cH:17][c:18]([Cl:19])[cH:20]3)[CH2:21][CH2:22]1)=[O:23])=[O:24].[CH3:25][NH:26][c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1,[C:1]([CH2:2][NH:3][C:4]([N:5]1[CH2:6][CH2:7][N:8]([c:9]2[cH:10][c:11]([NH2:12])[n:13][c:14]3[c:15]2[cH:16][cH:17][c:18]([Cl:19])[cH:20]3)[CH2:21][CH2:22]1)=[O:23])(=[O:24])[N:26]([CH3:25])[c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1,,"[('b', 47, 547)]",4537,train,1
3973,[O:15]=[C:16]([c:17]1[cH:18][cH:19][cH:20][cH:21][c:22]1[C:23]([F:24])([F:25])[F:26])[N:27]1[CH2:28][CH2:29][NH:30][CH2:31][CH2:32]1.Cl[c:1]1[cH:2][cH:3][c:4]([C:5]([NH:6][CH2:7][CH2:8][CH2:9][CH2:10][CH3:11])=[O:12])[n:13][n:14]1,[c:1]1([N:30]2[CH2:29][CH2:28][N:27]([C:16](=[O:15])[c:17]3[cH:18][cH:19][cH:20][cH:21][c:22]3[C:23]([F:24])([F:25])[F:26])[CH2:32][CH2:31]2)[cH:2][cH:3][c:4]([C:5]([NH:6][CH2:7][CH2:8][CH2:9][CH2:10][CH3:11])=[O:12])[n:13][n:14]1,,"[('b', 1, 545)]",1916,train,1
3974,O[C:1]([CH2:2][c:3]1[c:4]([CH2:5][CH:6]2[c:7]3[c:8]([cH:9][c:10]([O:11][CH3:12])[c:13]([O:14][CH3:15])[cH:16]3)[CH2:17][CH2:18][NH:19]2)[cH:20][cH:21][cH:22][cH:23]1)=[O:24],[C:1]1(=[O:24])[CH2:2][c:3]2[c:4]([cH:20][cH:21][cH:22][cH:23]2)[CH2:5][CH:6]2[c:7]3[c:8]([cH:9][c:10]([O:11][CH3:12])[c:13]([O:14][CH3:15])[cH:16]3)[CH2:17][CH2:18][N:19]12,,"[('b', 46, 547)]",4537,train,1
3975,CC[O:1][C:2](=[O:3])/[CH:4]=[CH:5]/[CH:6]=[CH:7]/[CH:8]1[CH2:9][CH2:10][N:11]([C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18])[CH2:19][CH2:20]1,[OH:1][C:2](=[O:3])/[CH:4]=[CH:5]/[CH:6]=[CH:7]/[CH:8]1[CH2:9][CH2:10][N:11]([C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18])[CH2:19][CH2:20]1,,"[('a', 0, 121)]",1123,train,1
3976,CCO[C:1](=[O:2])[CH:3]1[O:4][CH2:5][CH2:6][N:7]1[C:8](=[O:9])[c:10]1[cH:11][c:12]([CH3:13])[cH:14][cH:15][c:16]1-[n:17]1[n:18][cH:19][cH:20][n:21]1,[CH2:1]([OH:2])[CH:3]1[O:4][CH2:5][CH2:6][N:7]1[C:8](=[O:9])[c:10]1[cH:11][c:12]([CH3:13])[cH:14][cH:15][c:16]1-[n:17]1[n:18][cH:19][cH:20][n:21]1,,"[('a', 0, 115)]",196,train,1
3977,[O:7]=[C:8]([CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][c:15]([CH2:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[cH:24]1)[N:25]1[CH2:26][CH2:27][c:28]2[cH:29][cH:30][o:31][c:32]2[CH2:33]1.[CH3:2][CH2:3][NH:4][CH2:5][CH3:6].O=[CH2:1],[CH2:1]([N:4]([CH2:3][CH3:2])[CH2:5][CH3:6])[c:30]1[cH:29][c:28]2[c:32]([o:31]1)[CH2:33][N:25]([C:8](=[O:7])[CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][c:15]([CH2:16][CH2:17][c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[cH:24]1)[CH2:26][CH2:27]2,,"[('b', 1, 460), ('b', 11, 460)]",37,train,1
3978,[CH3:10][n:11]1[n:12][cH:13][c:14]2[cH:15][c:16]([NH:17][c:18]3[n:19][cH:20][n:21][c:22]4[nH:23][c:24]([C:25]5=[CH:26][CH2:27][NH:28][CH2:29][CH2:30]5)[cH:31][c:32]34)[cH:33][cH:34][c:35]12.Cl[C:1]([N:2]1[CH2:3][CH2:4][N:5]([CH3:6])[CH2:7][CH2:8]1)=[O:9],[C:1]([N:2]1[CH2:3][CH2:4][N:5]([CH3:6])[CH2:7][CH2:8]1)(=[O:9])[N:28]1[CH2:27][CH:26]=[C:25]([c:24]2[nH:23][c:22]3[n:21][cH:20][n:19][c:18]([NH:17][c:16]4[cH:15][c:14]5[cH:13][n:12][n:11]([CH3:10])[c:35]5[cH:34][cH:33]4)[c:32]3[cH:31]2)[CH2:30][CH2:29]1,,"[('b', 17, 546)]",2537,train,1
3979,[NH2:6][c:7]1[n:8][c:9]2[cH:10][c:11]([Br:12])[n:13][c:14]([Br:15])[c:16]2[s:17]1.[CH3:1][CH2:2][N:3]=[C:4]=[O:5],[CH3:1][CH2:2][NH:3][C:4](=[O:5])[NH:6][c:7]1[n:8][c:9]2[cH:10][c:11]([Br:12])[n:13][c:14]([Br:15])[c:16]2[s:17]1,,"[('b', 9, 536)]",566,train,1
3980,O=[CH:1][CH:2]=[CH:3][c:4]1[cH:5][cH:6][cH:7][c:8]([OH:9])[cH:10]1.[NH2:11][NH:12][C:13]([NH2:14])=[S:15],[CH:1]([CH:2]=[CH:3][c:4]1[cH:5][cH:6][cH:7][c:8]([OH:9])[cH:10]1)=[N:11][NH:12][C:13]([NH2:14])=[S:15],,"[('b', 19, 531)]",446,train,1
3981,[CH3:13][NH:14][CH:15]([CH3:16])[c:17]1[n:18][c:19]2[cH:20][cH:21][cH:22][cH:23][c:24]2[c:25](=[O:26])[n:27]1-[c:28]1[cH:29][cH:30][c:31]([O:32][CH3:33])[cH:34][cH:35]1.Cl[C:1]([c:2]1[cH:3][cH:4][c:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[cH:10][cH:11]1)=[O:12],[C:1]([c:2]1[cH:3][cH:4][c:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[cH:10][cH:11]1)(=[O:12])[N:14]([CH3:13])[CH:15]([CH3:16])[c:17]1[n:18][c:19]2[cH:20][cH:21][cH:22][cH:23][c:24]2[c:25](=[O:26])[n:27]1-[c:28]1[cH:29][cH:30][c:31]([O:32][CH3:33])[cH:34][cH:35]1,,"[('b', 23, 546)]",2537,train,1
3982,O=[C:1]([NH:2][CH2:3][CH:4]([C:5]([O:6][CH2:7][CH3:8])=[O:9])[c:10]1[cH:11][cH:12][c:13]([O:14][CH3:15])[c:16]([O:17][CH3:18])[cH:19]1)[CH2:20][c:21]1[cH:22][cH:23][cH:24][c:25]([O:26][CH:27]([CH3:28])[CH2:29][CH3:30])[cH:31]1,[C:1]1([CH2:20][c:21]2[cH:22][cH:23][cH:24][c:25]([O:26][CH:27]([CH3:28])[CH2:29][CH3:30])[cH:31]2)=[N:2][CH2:3][CH:4]([C:5]([O:6][CH2:7][CH3:8])=[O:9])[c:10]2[c:11]1[cH:12][c:13]([O:14][CH3:15])[c:16]([O:17][CH3:18])[cH:19]2,,"[('b', 60, 339)]",7,train,1
3983,[O:2]=[C:3]([OH:4])[c:5]1[cH:6][cH:7][c:8]([OH:9])[cH:10][n:11]1.O[CH3:1],[CH3:1][O:4][C:3](=[O:2])[c:5]1[cH:6][cH:7][c:8]([OH:9])[cH:10][n:11]1,,"[('b', 1, 539)]",804,train,1
3984,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6](=[O:7])[NH:8][C@@H:9]([CH2:10][CH:11]([CH3:12])[CH3:13])[C:14](=[O:15])[NH:16][C@H:17]([CH2:18][OH:19])[CH2:20][CH2:21][CH2:22][CH3:23],[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6](=[O:7])[NH:8][C@@H:9]([CH2:10][CH:11]([CH3:12])[CH3:13])[C:14](=[O:15])[NH:16][C@H:17]([CH:18]=[O:19])[CH2:20][CH2:21][CH2:22][CH3:23],,"[('b', 34, 529), ('b', 35, 529)]",413,train,1
3985,Br[CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH3:16].[CH3:17][O:18][C:19](=[O:20])[C:21](=[O:22])[CH2:23][c:24]1[cH:25][cH:26][c:27]([NH2:28])[cH:29][cH:30]1,[CH2:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH3:16])[NH:28][c:27]1[cH:26][cH:25][c:24]([CH2:23][C:21]([C:19]([O:18][CH3:17])=[O:20])=[O:22])[cH:30][cH:29]1,,"[('b', 31, 543)]",955,train,1
3986,[CH3:4][c:5]1[n:6][c:7]2[c:8]([O:9][CH2:10][c:11]3[c:12]([Cl:13])[cH:14][cH:15][c:16]([NH2:17])[c:18]3[Cl:19])[cH:20][cH:21][cH:22][n:23]2[c:24]1[Br:25].CC(=O)O[C:2]([CH3:1])=[O:3],[CH3:1][C:2](=[O:3])[NH:17][c:16]1[cH:15][cH:14][c:12]([Cl:13])[c:11]([CH2:10][O:9][c:8]2[c:7]3[n:6][c:5]([CH3:4])[c:24]([Br:25])[n:23]3[cH:22][cH:21][cH:20]2)[c:18]1[Cl:19],,"[('b', 5, 514)]",174,train,1
3987,C[O:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[c:7]([cH:8][c:9]1[OH:10])-[c:11]1[nH:12][c:13]3[c:14]([F:15])[c:16]([C:17]([F:18])([F:19])[F:20])[c:21]([Br:22])[cH:23][c:24]3[c:25]1[CH2:26][CH2:27]2,[OH:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[c:7]([cH:8][c:9]1[OH:10])-[c:11]1[nH:12][c:13]3[c:14]([F:15])[c:16]([C:17]([F:18])([F:19])[F:20])[c:21]([Br:22])[cH:23][c:24]3[c:25]1[CH2:26][CH2:27]2,,"[('a', 0, 124)]",1797,train,1
3988,I[c:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[C:7]([c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[Cl:14])=[N:15][CH2:16][c:17]1[n:18][n:19][c:20]([CH3:21])[n:22]1-2.[CH:23]#[C:24][Si:25]([CH3:26])([CH3:27])[CH3:28],[c:1]1([C:23]#[C:24][Si:25]([CH3:26])([CH3:27])[CH3:28])[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[C:7]([c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[Cl:14])=[N:15][CH2:16][c:17]1[n:18][n:19][c:20]([CH3:21])[n:22]1-2,,"[('b', 1, 516)]",212,train,1
3989,Cl[c:1]1[cH:2][cH:3][c:4]([O:5][CH2:6][CH2:7][CH2:8][CH3:9])[n:10][n:11]1.[CH2:12]=[CH:13][CH2:14][SH:15],[c:1]1([S:15][CH2:14][CH:13]=[CH2:12])[cH:2][cH:3][c:4]([O:5][CH2:6][CH2:7][CH2:8][CH3:9])[n:10][n:11]1,,"[('b', 1, 490)]",66,train,1
3990,[CH3:4][S:5](=[O:6])(=[O:7])[c:8]1[n:9][c:10]2[n:11][c:12]([I:13])[c:14]([Cl:15])[cH:16][c:17]2[nH:18]1.Br[CH2:1][CH:2]=[CH2:3],[CH2:1]([CH:2]=[CH2:3])[n:18]1[c:8]([S:5]([CH3:4])(=[O:6])=[O:7])[n:9][c:10]2[n:11][c:12]([I:13])[c:14]([Cl:15])[cH:16][c:17]21,,"[('b', 5, 534)]",457,train,1
3991,Cl[c:1]1[cH:2][c:3]([CH2:4][O:5][c:6]2[cH:7][cH:8][c:9]([C:10]([NH:11][c:12]3[c:13]([CH3:14])[cH:15][cH:16][c:17](-[c:18]4[n:19][cH:20][cH:21][nH:22]4)[cH:23]3)=[O:24])[cH:25][cH:26]2)[n:27][cH:28][cH:29]1.[CH3:30][N:31]([CH3:32])[CH2:33][CH2:34][OH:35],[c:1]1([O:35][CH2:34][CH2:33][N:31]([CH3:30])[CH3:32])[cH:2][c:3]([CH2:4][O:5][c:6]2[cH:7][cH:8][c:9]([C:10]([NH:11][c:12]3[c:13]([CH3:14])[cH:15][cH:16][c:17](-[c:18]4[n:19][cH:20][cH:21][nH:22]4)[cH:23]3)=[O:24])[cH:25][cH:26]2)[n:27][cH:28][cH:29]1,,"[('b', 1, 533)]",452,train,1
3992,O[CH:1]([CH3:2])[CH:3]1[CH2:4][N:5]([CH2:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[CH2:13][CH:14]1[c:15]1[cH:16][cH:17][c:18]([Cl:19])[c:20]([Cl:21])[cH:22]1.[OH:23][c:24]1[cH:25][cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32][n:33]1,[CH:1]([CH3:2])([CH:3]1[CH2:4][N:5]([CH2:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[CH2:13][CH:14]1[c:15]1[cH:16][cH:17][c:18]([Cl:19])[c:20]([Cl:21])[cH:22]1)[O:23][c:24]1[cH:25][cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32][n:33]1,,"[('b', 43, 539)]",804,train,1
3993,Cl[c:1]1[c:2]2[n:3][c:4]([CH2:5][O:6][CH2:7][CH3:8])[n:9]([CH2:10][CH:11]3[CH2:12][C:13]([CH3:14])=[N:15][O:16]3)[c:17]2[c:18]2[c:19]([n:20]1)[cH:21][cH:22][cH:23][cH:24]2.[NH3:25],[c:1]1([NH2:25])[c:2]2[n:3][c:4]([CH2:5][O:6][CH2:7][CH3:8])[n:9]([CH2:10][CH:11]3[CH2:12][C:13]([CH3:14])=[N:15][O:16]3)[c:17]2[c:18]2[c:19]([n:20]1)[cH:21][cH:22][cH:23][cH:24]2,,"[('b', 1, 545)]",1916,train,1
3994,[CH3:5][CH2:6][C:7](=[O:8])[N:9]1[CH2:10][CH:11]([CH2:12][c:13]2[n:14][nH:15][c:16](=[O:17])[n:18]2-[c:19]2[cH:20][cH:21][c:22]([Br:23])[cH:24][c:25]2[F:26])[CH2:27]1.Cl[C:1]([CH2:2][CH3:3])=[O:4],[C:1]([CH2:2][CH3:3])(=[O:4])[n:15]1[n:14][c:13]([CH2:12][CH:11]2[CH2:10][N:9]([C:7]([CH2:6][CH3:5])=[O:8])[CH2:27]2)[n:18](-[c:19]2[cH:20][cH:21][c:22]([Br:23])[cH:24][c:25]2[F:26])[c:16]1=[O:17],,"[('b', 7, 524)]",307,train,1
3995,O[C:1]([c:2]1[c:3](/[CH:4]=[CH:5]/[c:6]2[c:7]([O:8][CH2:9][C:10]([CH3:11])([CH3:12])[CH3:13])[c:14]([O:15][CH:16]([F:17])[F:18])[cH:19][cH:20][cH:21]2)[n:22][c:23]2[s:24][cH:25][cH:26][n:27]12)=[O:28].[N:29]#[C:30][c:31]1[cH:32][cH:33][c:34]([NH2:35])[n:36][cH:37]1,[C:1]([c:2]1[c:3](/[CH:4]=[CH:5]/[c:6]2[c:7]([O:8][CH2:9][C:10]([CH3:11])([CH3:12])[CH3:13])[c:14]([O:15][CH:16]([F:17])[F:18])[cH:19][cH:20][cH:21]2)[n:22][c:23]2[s:24][cH:25][cH:26][n:27]12)(=[O:28])[NH:35][c:34]1[cH:33][cH:32][c:31]([C:30]#[N:29])[cH:37][n:36]1,,"[('b', 55, 547)]",4537,train,1
3996,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][CH:4]([n:5]2[c:6]3[cH:7][c:8]([CH3:9])[c:10]([Br:11])[cH:12][c:13]3[nH:14][c:15]2=[O:16])[CH2:17][CH2:18]1,[NH:1]1[CH2:2][CH2:3][CH:4]([n:5]2[c:6]3[cH:7][c:8]([CH3:9])[c:10]([Br:11])[cH:12][c:13]3[nH:14][c:15]2=[O:16])[CH2:17][CH2:18]1,,"[('a', 0, 123)]",1493,train,1
3997,[OH:11][c:12]1[cH:13][cH:14][c:15]2[c:16]([cH:17]1)[CH2:18][CH2:19][CH2:20][N:21]2[CH2:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1.[O:1]=[C:2]=[N:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[Cl:10],[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[Cl:10])[O:11][c:12]1[cH:13][cH:14][c:15]2[c:16]([cH:17]1)[CH2:18][CH2:19][CH2:20][N:21]2[CH2:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1,,"[('b', 19, 488)]",65,train,1
3998,[NH:10]=[C:11]([NH:12][NH2:13])[NH:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][o:20]1.O=[CH:1][c:2]1[c:3]([Cl:4])[cH:5][cH:6][cH:7][c:8]1[Cl:9],[CH:1]([c:2]1[c:3]([Cl:4])[cH:5][cH:6][cH:7][c:8]1[Cl:9])=[N:13][NH:12][C:11](=[NH:10])[NH:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][o:20]1,,"[('b', 17, 531)]",446,train,1
3999,[CH3:9][C:10]([CH3:11])([CH2:12][c:13]1[cH:14][nH:15][c:16]2[c:17]([OH:18])[cH:19][cH:20][cH:21][c:22]12)[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30].Cl[c:1]1[c:2]([C:3]#[N:4])[cH:5][cH:6][cH:7][n:8]1,[c:1]1([O:18][c:17]2[c:16]3[nH:15][cH:14][c:13]([CH2:12][C:10]([CH3:9])([CH3:11])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30])[c:22]3[cH:21][cH:20][cH:19]2)[c:2]([C:3]#[N:4])[cH:5][cH:6][cH:7][n:8]1,,"[('b', 1, 533)]",452,train,1
4000,O=C(OCc1ccccc1)[NH:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][N:7]([P:8]([NH2:9])([NH2:10])=[O:11])[C:12]1=[O:13],[NH2:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][N:7]([P:8]([NH2:9])([NH2:10])=[O:11])[C:12]1=[O:13],,"[('a', 0, 116)]",197,train,1
4001,Cl[c:1]1[cH:2][cH:3][c:4]([B:5]2[O:6][C:7]([CH3:8])([CH3:9])[C:10]([CH3:11])([CH3:12])[O:13]2)[cH:14][n:15]1.[CH3:16][NH2:17],[c:1]1([NH:17][CH3:16])[cH:2][cH:3][c:4]([B:5]2[O:6][C:7]([CH3:8])([CH3:9])[C:10]([CH3:11])([CH3:12])[O:13]2)[cH:14][n:15]1,,"[('b', 1, 545)]",1916,train,1
4002,CC(=O)[NH:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][c:8]3[cH:9][c:10]([C:11]([O:12][CH2:13][CH3:14])=[O:15])[o:16][c:17]3[cH:18][cH:19]2)[cH:20][cH:21]1,[NH2:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][c:8]3[cH:9][c:10]([C:11]([O:12][CH2:13][CH3:14])=[O:15])[o:16][c:17]3[cH:18][cH:19]2)[cH:20][cH:21]1,,"[('a', 0, 110)]",115,train,1
4003,[CH3:5][CH:6]([CH3:7])[C@@H:8]([NH:9][S:10](=[O:11])(=[O:12])[c:13]1[cH:14][cH:15][c:16]([F:17])[cH:18][cH:19]1)[C:20](=[O:21])[OH:22].[CH2:1]=[C:2]([CH3:3])[CH3:4],[CH3:1][C:2]([CH3:3])([CH3:4])[O:22][C:20]([C@@H:8]([CH:6]([CH3:5])[CH3:7])[NH:9][S:10](=[O:11])(=[O:12])[c:13]1[cH:14][cH:15][c:16]([F:17])[cH:18][cH:19]1)=[O:21],,"[('b', 7, 502)]",107,train,1
4004,[CH3:8][C:9]([CH3:10])([OH:11])[c:12]1[cH:13][cH:14][c:15](-[c:16]2[cH:17][c:18]([C:19]([NH2:20])=[O:21])[c:22]([NH:23][c:24]3[cH:25][cH:26][cH:27][c:28]([CH2:29][OH:30])[n:31]3)[s:32]2)[c:33]([F:34])[cH:35]1.Cl[CH2:1][c:2]1[n:3][n:4][c:5]([CH3:6])[o:7]1,[CH2:1]([c:2]1[n:3][n:4][c:5]([CH3:6])[o:7]1)[O:30][CH2:29][c:28]1[cH:27][cH:26][cH:25][c:24]([NH:23][c:22]2[c:18]([C:19]([NH2:20])=[O:21])[cH:17][c:16](-[c:15]3[cH:14][cH:13][c:12]([C:9]([CH3:8])([CH3:10])[OH:11])[cH:35][c:33]3[F:34])[s:32]2)[n:31]1,,"[('b', 13, 538)]",782,train,1
4005,Br[c:1]1[c:2]([Cl:3])[n:4][cH:5][c:6]([S:7]([NH:8][c:9]2[cH:10][cH:11][c:12]([C:13]([O:14][CH3:15])=[O:16])[c:17]([OH:18])[cH:19]2)(=[O:20])=[O:21])[cH:22]1.OB(O)[c:23]1[cH:24][cH:25][cH:26][c:27]([O:28][CH3:29])[c:30]1[F:31],[c:1]1(-[c:23]2[cH:24][cH:25][cH:26][c:27]([O:28][CH3:29])[c:30]2[F:31])[c:2]([Cl:3])[n:4][cH:5][c:6]([S:7]([NH:8][c:9]2[cH:10][cH:11][c:12]([C:13]([O:14][CH3:15])=[O:16])[c:17]([OH:18])[cH:19]2)(=[O:20])=[O:21])[cH:22]1,,"[('b', 0, 541)]",900,train,1
4006,[O:2]=[C:3]([OH:4])[c:5]1[cH:6][cH:7][n:8][cH:9][cH:10]1.O[CH3:1],[CH3:1][O:4][C:3](=[O:2])[c:5]1[cH:6][cH:7][n:8][cH:9][cH:10]1,,"[('b', 1, 539)]",804,train,1
4007,[NH2:5][CH:6]([CH2:7][C:8](=[O:9])[OH:10])[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.O[CH2:1][CH2:2][O:3][CH3:4],[CH2:1]([CH2:2][O:3][CH3:4])[O:10][C:8]([CH2:7][CH:6]([NH2:5])[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)=[O:9],,"[('b', 7, 539)]",804,train,1
4008,[cH:14]1[cH:15][c:16]2[c:17]3[c:18]([cH:19]1)[C@@H:20]1[CH2:21][NH:22][CH2:23][CH2:24][C@@H:25]1[N:26]3[CH2:27][CH2:28][O:29]2.Cl[CH2:1][CH2:2][CH2:3][c:4]1[c:5]2[cH:6][cH:7][c:8]([F:9])[cH:10][c:11]2[nH:12][n:13]1,[CH2:1]([CH2:2][CH2:3][c:4]1[c:5]2[cH:6][cH:7][c:8]([F:9])[cH:10][c:11]2[nH:12][n:13]1)[N:22]1[CH2:21][C@H:20]2[c:18]3[c:17]4[c:16]([cH:15][cH:14][cH:19]3)[O:29][CH2:28][CH2:27][N:26]4[C@H:25]2[CH2:24][CH2:23]1,,"[('b', 25, 546)]",2537,train,1
4009,Cl[c:1]1[c:2]([C:3](=[O:4])[CH:5]2[CH2:6][CH2:7]2)[cH:8][n:9][c:10]2[cH:11][cH:12][c:13]([Br:14])[cH:15][c:16]12.[CH3:17][N:18]([CH3:19])[C@H:20]1[CH2:21][CH2:22][C@H:23]([CH2:24][NH2:25])[CH2:26][CH2:27]1,[c:1]1([NH:25][CH2:24][C@H:23]2[CH2:22][CH2:21][C@H:20]([N:18]([CH3:17])[CH3:19])[CH2:27][CH2:26]2)[c:2]([C:3](=[O:4])[CH:5]2[CH2:6][CH2:7]2)[cH:8][n:9][c:10]2[cH:11][cH:12][c:13]([Br:14])[cH:15][c:16]12,,"[('b', 1, 545)]",1916,train,1
