,Reactants,Products,Reagents,Labels,Frequency
12512,[CH3:14][CH2:15][O:16][C:17](=[O:18])[C@H:19]([CH2:20][c:21]1[cH:22][cH:23][c:24]([OH:25])[cH:26][cH:27]1)[O:28][CH2:29][CH3:30].O[CH2:1]/[C:2]([CH2:3][CH3:4])=[C:5](/[CH3:6])[c:7]1[cH:8][cH:9][c:10]([Br:11])[cH:12][cH:13]1,[CH2:1](/[C:2]([CH2:3][CH3:4])=[C:5](/[CH3:6])[c:7]1[cH:8][cH:9][c:10]([Br:11])[cH:12][cH:13]1)[O:25][c:24]1[cH:23][cH:22][c:21]([CH2:20][C@@H:19]([C:17]([O:16][CH2:15][CH3:14])=[O:18])[O:28][CH2:29][CH3:30])[cH:27][cH:26]1,,"[('b', 25, 525)]",804
12513,O[C:1]([c:2]1[cH:3][c:4]2[cH:5][c:6]([O:7][C:8]([F:9])([F:10])[F:11])[cH:12][c:13]([N:14]([CH3:15])[S:16](=[O:17])(=[O:18])[c:19]3[cH:20][cH:21][cH:22][s:23]3)[c:24]2[nH:25]1)=[O:26].[CH3:27][O:28][CH:29]([O:30][CH3:31])[CH:32]([CH2:33][NH2:34])[S:35][CH2:36][c:37]1[cH:38][cH:39][cH:40][cH:41][cH:42]1,[C:1]([c:2]1[cH:3][c:4]2[cH:5][c:6]([O:7][C:8]([F:9])([F:10])[F:11])[cH:12][c:13]([N:14]([CH3:15])[S:16](=[O:17])(=[O:18])[c:19]3[cH:20][cH:21][cH:22][s:23]3)[c:24]2[nH:25]1)(=[O:26])[NH:34][CH2:33][CH:32]([CH:29]([O:28][CH3:27])[O:30][CH3:31])[S:35][CH2:36][c:37]1[cH:38][cH:39][cH:40][cH:41][cH:42]1,,"[('b', 51, 533)]",4537
12514,[CH3:3][n:4]1[c:5](=[O:6])[c:7](-[c:8]2[cH:9][cH:10][c:11]([Cl:12])[cH:13][c:14]2[Cl:15])[cH:16][c:17]2[c:18]1[n:19]([CH3:20])[c:21]1[cH:22][cH:23][c:24](-[c:25]3[cH:26][c:27]([CH2:28][OH:29])[n:30]([CH3:31])[n:32]3)[cH:33][c:34]21.I[CH2:1][CH3:2],[CH2:1]([CH3:2])[O:29][CH2:28][c:27]1[cH:26][c:25](-[c:24]2[cH:23][cH:22][c:21]3[n:19]([CH3:20])[c:18]4[n:4]([CH3:3])[c:5](=[O:6])[c:7](-[c:8]5[cH:9][cH:10][c:11]([Cl:12])[cH:13][c:14]5[Cl:15])[cH:16][c:17]4[c:34]3[cH:33]2)[n:32][n:30]1[CH3:31],,"[('b', 3, 512)]",307
12515,[NH2:5][CH:6]1[CH2:7][CH2:8][CH2:9][CH2:10][CH2:11]1.Cl[C:1](=[O:2])[CH2:3][Br:4],[C:1](=[O:2])([CH2:3][Br:4])[NH:5][CH:6]1[CH2:7][CH2:8][CH2:9][CH2:10][CH2:11]1,,"[('b', 7, 532)]",2537
12516,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][c:5](-[c:6]2[n:7][c:8]([CH:9]([CH3:10])[CH3:11])[s:12][cH:13]2)[cH:14][cH:15]1,[NH2:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[n:7][c:8]([CH:9]([CH3:10])[CH3:11])[s:12][cH:13]2)[cH:14][cH:15]1,,"[('a', 0, 121)]",1277
12517,C[O:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([C:8](=[O:9])[NH:10][CH2:11][c:12]2[cH:13][n:14](-[c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[c:21]3[cH:22][c:23]([Cl:24])[cH:25][cH:26][c:27]3[c:28]2=[O:29])[cH:30][cH:31]1,[OH:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([C:8](=[O:9])[NH:10][CH2:11][c:12]2[cH:13][n:14](-[c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[c:21]3[cH:22][c:23]([Cl:24])[cH:25][cH:26][c:27]3[c:28]2=[O:29])[cH:30][cH:31]1,,"[('a', 0, 123)]",1797
12518,CC(C)(C)OC(=O)[N:1]([CH3:2])[CH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]1,[NH:1]([CH3:2])[CH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]1,,"[('a', 0, 122)]",1493
12519,Br[c:1]1[cH:2][c:3]([CH3:4])[cH:5][c:6](-[n:7]2[c:8](=[O:9])[n:10]([C@H:11]3[CH2:12][CH2:13][C@@H:14]([NH:15][C:16](=[O:17])[c:18]4[cH:19][n:20]5[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]5[n:27]4)[CH2:28][CH2:29]3)[c:30](=[O:31])[c:32]3[cH:33][c:34]([F:35])[cH:36][n:37][c:38]23)[cH:39]1.OB(O)[c:40]1[cH:41][cH:42][c:43]([CH:44]=[O:45])[cH:46][cH:47]1,[c:1]1(-[c:40]2[cH:41][cH:42][c:43]([CH:44]=[O:45])[cH:46][cH:47]2)[cH:2][c:3]([CH3:4])[cH:5][c:6](-[n:7]2[c:8](=[O:9])[n:10]([C@H:11]3[CH2:12][CH2:13][C@@H:14]([NH:15][C:16](=[O:17])[c:18]4[cH:19][n:20]5[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]5[n:27]4)[CH2:28][CH2:29]3)[c:30](=[O:31])[c:32]3[cH:33][c:34]([F:35])[cH:36][n:37][c:38]23)[cH:39]1,,"[('b', 0, 527)]",900
12520,O[C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[nH:8][cH:9][cH:10][c:11]2[cH:12]1.[NH2:13][CH:14]1[CH:15]2[CH2:16][CH:17]3[CH2:18][CH:19]1[CH2:20][N:21]([CH2:22]3)[CH2:23]2,[C:2](=[O:3])([c:4]1[cH:5][cH:6][c:7]2[nH:8][cH:9][cH:10][c:11]2[cH:12]1)[NH:13][CH:14]1[CH:15]2[CH2:16][CH:17]3[CH2:18][CH:19]1[CH2:20][N:21]([CH2:22]3)[CH2:23]2,,"[('b', 21, 533)]",4537
12521,O=[C:1]1[CH2:2][CH2:3][C:4]([N:5]([CH3:6])[CH3:7])([CH2:8][c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH2:15][CH2:16]1.[NH2:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1,[CH:1]1([NH:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:2][CH2:3][C:4]([N:5]([CH3:6])[CH3:7])([CH2:8][c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH2:15][CH2:16]1,,"[('b', 1, 530)]",1299
12522,O[C:1]([c:2]1[cH:3][c:4]2[c:5]([cH:6][cH:7]1)[CH2:8][N:9]([C:10]([O:11][C:12]([CH3:13])([CH3:14])[CH3:15])=[O:16])[CH2:17][CH2:18]2)=[O:19].[NH2:20][c:21]1[cH:22][n:23][n:24]([CH2:25][c:26]2[cH:27][cH:28][cH:29][c:30]3[cH:31][cH:32][cH:33][cH:34][c:35]23)[cH:36]1,[C:1]([c:2]1[cH:3][c:4]2[c:5]([cH:6][cH:7]1)[CH2:8][N:9]([C:10]([O:11][C:12]([CH3:13])([CH3:14])[CH3:15])=[O:16])[CH2:17][CH2:18]2)(=[O:19])[NH:20][c:21]1[cH:22][n:23][n:24]([CH2:25][c:26]2[cH:27][cH:28][cH:29][c:30]3[cH:31][cH:32][cH:33][cH:34][c:35]23)[cH:36]1,,"[('b', 37, 533)]",4537
12523,Br[c:1]1[cH:2][c:3]2[c:4](-[c:5]3[cH:6][cH:7][cH:8][c:9]4[cH:10][cH:11][nH:12][c:13]34)[cH:14][n:15]([S:16]([c:17]3[cH:18][cH:19][c:20]([CH3:21])[cH:22][cH:23]3)(=[O:24])=[O:25])[c:26]2[n:27][cH:28]1.CC1(C)OB([c:29]2[cH:30][c:31]([C:32]([O:33][CH3:34])=[O:35])[c:36]([NH:37][C:38](=[O:39])[O:40][C:41]([CH3:42])([CH3:43])[CH3:44])[cH:45][cH:46]2)OC1(C)C,[c:1]1(-[c:29]2[cH:30][c:31]([C:32]([O:33][CH3:34])=[O:35])[c:36]([NH:37][C:38](=[O:39])[O:40][C:41]([CH3:42])([CH3:43])[CH3:44])[cH:45][cH:46]2)[cH:2][c:3]2[c:4](-[c:5]3[cH:6][cH:7][cH:8][c:9]4[cH:10][cH:11][nH:12][c:13]34)[cH:14][n:15]([S:16]([c:17]3[cH:18][cH:19][c:20]([CH3:21])[cH:22][cH:23]3)(=[O:24])=[O:25])[c:26]2[n:27][cH:28]1,,"[('b', 0, 518)]",452
12524,[CH3:7][CH2:8][CH2:9][CH2:10][O:11][C:12](=[O:13])[c:14]1[s:15][c:16]2[cH:17][cH:18][c:19]([OH:20])[cH:21][c:22]2[c:23]1[O:24][C:25](=[O:26])[C:27]([CH3:28])([CH3:29])[CH3:30].Br[CH2:1][C:2]([O:3][CH2:4][CH3:5])=[O:6],[CH2:1]([C:2]([O:3][CH2:4][CH3:5])=[O:6])[O:20][c:19]1[cH:18][cH:17][c:16]2[s:15][c:14]([C:12]([O:11][CH2:10][CH2:9][CH2:8][CH3:7])=[O:13])[c:23]([O:24][C:25](=[O:26])[C:27]([CH3:28])([CH3:29])[CH3:30])[c:22]2[cH:21]1,,"[('b', 11, 528)]",924
12525,O[C:1]([C:2]1=[C:3]([CH3:4])[NH:5][C:6](=[O:7])[CH2:8][CH:9]1[c:10]1[cH:11][cH:12][c:13]([C:14]([F:15])([F:16])[F:17])[cH:18][cH:19]1)=[O:20].[NH2:21][c:22]1[cH:23][c:24]2[cH:25][n:26][nH:27][c:28]2[cH:29][c:30]1[F:31],[C:1]([C:2]1=[C:3]([CH3:4])[NH:5][C:6](=[O:7])[CH2:8][CH:9]1[c:10]1[cH:11][cH:12][c:13]([C:14]([F:15])([F:16])[F:17])[cH:18][cH:19]1)(=[O:20])[NH:21][c:22]1[cH:23][c:24]2[cH:25][n:26][nH:27][c:28]2[cH:29][c:30]1[F:31],,"[('b', 39, 533)]",4537
12526,[N:4]#[C:5][c:6]1[cH:7][cH:8][c:9]([OH:10])[cH:11][n:12]1.Cl[CH2:1][O:2][CH3:3],[CH2:1]([O:2][CH3:3])[O:10][c:9]1[cH:8][cH:7][c:6]([C:5]#[N:4])[n:12][cH:11]1,,"[('b', 5, 524)]",782
12527,[CH3:2][C:3]([CH3:4])([CH3:5])[Si:6]([CH3:7])([CH3:8])[O:9][CH:10]1[CH2:11][CH2:12][c:13]2[c:14]1[cH:15][cH:16][cH:17][c:18]2[CH:19]([OH:20])[CH:21]([F:22])[F:23].I[CH3:1],[CH3:1][O:20][CH:19]([c:18]1[c:13]2[c:14]([cH:15][cH:16][cH:17]1)[CH:10]([O:9][Si:6]([C:3]([CH3:2])([CH3:4])[CH3:5])([CH3:7])[CH3:8])[CH2:11][CH2:12]2)[CH:21]([F:22])[F:23],,"[('b', 1, 512)]",307
12528,[CH3:3][c:4]1[c:5]([C:6](=[O:7])[OH:8])[nH:9][c:10]2[cH:11][cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17][c:18]12.I[CH2:1][CH3:2],[CH2:1]([CH3:2])[O:8][C:6]([c:5]1[c:4]([CH3:3])[c:18]2[c:10]([nH:9]1)[cH:11][cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17]2)=[O:7],,"[('b', 3, 512)]",307
12529,[OH:4][c:5]1[cH:6][c:7]([Cl:8])[c:9]([Cl:10])[cH:11][c:12]1[Cl:13].Cl[C:1](=[O:2])[Cl:3],[C:1](=[O:2])([Cl:3])[O:4][c:5]1[cH:6][c:7]([Cl:8])[c:9]([Cl:10])[cH:11][c:12]1[Cl:13],,"[('b', 5, 524)]",782
12530,Br[c:1]1[c:2]([N:3]2[CH2:4][C@H:5]([OH:6])[C@@H:7]([OH:8])[CH2:9]2)[n:10][cH:11][c:12]([C:13](=[O:14])[NH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[Cl:24])[cH:25][cH:26]2)[cH:27]1.OB(O)[c:28]1[c:29]([CH3:30])[cH:31][cH:32][c:33]([F:34])[cH:35]1,[c:1]1(-[c:28]2[c:29]([CH3:30])[cH:31][cH:32][c:33]([F:34])[cH:35]2)[c:2]([N:3]2[CH2:4][C@H:5]([OH:6])[C@@H:7]([OH:8])[CH2:9]2)[n:10][cH:11][c:12]([C:13](=[O:14])[NH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[Cl:24])[cH:25][cH:26]2)[cH:27]1,,"[('b', 0, 527)]",900
12531,[CH3:8]/[C:9](=[CH:10]\[c:11]1[cH:12][cH:13][c:14]([C:15](=[O:16])[OH:17])[cH:18][cH:19]1)[c:20]1[cH:21][cH:22][c:23]2[c:24]([cH:25]1)[C:26]([CH3:27])([CH3:28])[CH2:29][CH2:30][C:31]2([CH3:32])[CH3:33].Cl[CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1,[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:17][C:15]([c:14]1[cH:13][cH:12][c:11](/[CH:10]=[C:9](\[CH3:8])[c:20]2[cH:21][cH:22][c:23]3[c:24]([cH:25]2)[C:26]([CH3:27])([CH3:28])[CH2:29][CH2:30][C:31]3([CH3:32])[CH3:33])[cH:19][cH:18]1)=[O:16],,"[('b', 13, 524)]",782
12532,CC1(C)OB([c:18]2[cH:19][cH:20][cH:21][c:22]([S:23]([NH:24][C:25]([CH3:26])([CH3:27])[CH3:28])(=[O:29])=[O:30])[cH:31]2)OC1(C)C.Br[c:1]1[c:2]([O:3][CH3:4])[c:5]([CH:6]=[O:7])[cH:8][c:9]([S:10](=[O:11])(=[O:12])[NH:13][C:14]([CH3:15])=[O:16])[cH:17]1,[c:1]1(-[c:18]2[cH:19][cH:20][cH:21][c:22]([S:23]([NH:24][C:25]([CH3:26])([CH3:27])[CH3:28])(=[O:29])=[O:30])[cH:31]2)[c:2]([O:3][CH3:4])[c:5]([CH:6]=[O:7])[cH:8][c:9]([S:10](=[O:11])(=[O:12])[NH:13][C:14]([CH3:15])=[O:16])[cH:17]1,,"[('b', 0, 518)]",452
12533,[CH3:8][c:9]1[cH:10][cH:11][c:12]([O:13][c:14]2[cH:15][cH:16][c:17]3[n:18][c:19]([NH2:20])[s:21][c:22]3[n:23]2)[cH:24][c:25]1[NH:26][C:27](=[O:28])[c:29]1[cH:30][cH:31][cH:32][c:33]([C:34]2([C:35]#[N:36])[CH2:37][CH2:38]2)[cH:39]1.Cl[C:1](=[O:2])[c:3]1[cH:4][o:5][cH:6][n:7]1,[C:1](=[O:2])([c:3]1[cH:4][o:5][cH:6][n:7]1)[NH:20][c:19]1[n:18][c:17]2[cH:16][cH:15][c:14]([O:13][c:12]3[cH:11][cH:10][c:9]([CH3:8])[c:25]([NH:26][C:27](=[O:28])[c:29]4[cH:30][cH:31][cH:32][c:33]([C:34]5([C:35]#[N:36])[CH2:37][CH2:38]5)[cH:39]4)[cH:24]3)[n:23][c:22]2[s:21]1,,"[('b', 13, 532)]",2537
12534,Cl[C:1](=[O:2])[c:3]1[cH:4][cH:5][cH:6][c:7]([NH:8][C:9](=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:17]1.[NH2:18][c:19]1[cH:20][cH:21][c:22]2[n:23][cH:24][s:25][c:26]2[cH:27]1,[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][c:7]([NH:8][C:9](=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:17]1)[NH:18][c:19]1[cH:20][cH:21][c:22]2[n:23][cH:24][s:25][c:26]2[cH:27]1,,"[('b', 33, 532)]",2537
12535,[CH3:1][N:2]([CH2:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]1)[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,[CH3:1][N:2]([CH2:3][CH:4]([OH:5])[c:6]1[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]1)[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,,"[('b', 6, 523), ('b', 7, 523)]",573
12536,Br[c:1]1[c:2]([N:3]2[c:4]3[cH:5][cH:6][c:7]([S:8]([N:9]([CH2:10][c:11]4[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]4)[c:19]4[n:20][cH:21][cH:22][s:23]4)(=[O:24])=[O:25])[cH:26][c:27]3[O:28][CH2:29][CH2:30]2)[cH:31][cH:32][c:33]([C:34]([F:35])([F:36])[F:37])[cH:38]1.CC1(C)OB([CH:39]=[CH2:40])OC1(C)C,[c:1]1([CH:39]=[CH2:40])[c:2]([N:3]2[c:4]3[cH:5][cH:6][c:7]([S:8]([N:9]([CH2:10][c:11]4[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]4)[c:19]4[n:20][cH:21][cH:22][s:23]4)(=[O:24])=[O:25])[cH:26][c:27]3[O:28][CH2:29][CH2:30]2)[cH:31][cH:32][c:33]([C:34]([F:35])([F:36])[F:37])[cH:38]1,,"[('b', 0, 431)]",28
12537,c1ccc(C[N:1]([CH3:2])[C@@H:3]2[CH2:4][CH2:5][CH2:6][c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]3[C@H:13]2[N:14]2[CH2:15][CH2:16][CH2:17][CH2:18]2)cc1,[NH:1]([CH3:2])[C@@H:3]1[CH2:4][CH2:5][CH2:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[C@H:13]1[N:14]1[CH2:15][CH2:16][CH2:17][CH2:18]1,,"[('a', 0, 113)]",193
12538,O=[CH:1][c:2]1[c:3](-[n:4]2[c:5]3[c:6](=[O:7])[n:8]([CH3:9])[c:10](=[O:11])[n:12]([CH3:13])[c:14]3[n:15][c:16]2[N:17]2[CH2:18][CH2:19][N:20]([C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[CH2:28][CH2:29]2)[cH:30][cH:31][cH:32][cH:33]1.[NH2:34][OH:35],[CH:1]([c:2]1[c:3](-[n:4]2[c:5]3[c:6](=[O:7])[n:8]([CH3:9])[c:10](=[O:11])[n:12]([CH3:13])[c:14]3[n:15][c:16]2[N:17]2[CH2:18][CH2:19][N:20]([C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[CH2:28][CH2:29]2)[cH:30][cH:31][cH:32][cH:33]1)=[N:34][OH:35],,"[('b', 65, 517)]",446
12539,Cl[C:1](=[O:2])[C@:3]12[CH2:4][c:5]3[cH:6][n:7][n:8](-[c:9]4[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]4)[c:16]3[CH:17]=[C:18]1[CH2:19][CH2:20][N:21]([S:22](=[O:23])(=[O:24])[c:25]1[cH:26][cH:27][c:28]([N:29]3[CH2:30][CH2:31][O:32][CH2:33][CH2:34]3)[n:35][cH:36]1)[CH2:37]2.[OH:38][CH:39]1[CH2:40][CH2:41][CH2:42]1,[C:1](=[O:2])([C@:3]12[CH2:4][c:5]3[cH:6][n:7][n:8](-[c:9]4[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]4)[c:16]3[CH:17]=[C:18]1[CH2:19][CH2:20][N:21]([S:22](=[O:23])(=[O:24])[c:25]1[cH:26][cH:27][c:28]([N:29]3[CH2:30][CH2:31][O:32][CH2:33][CH2:34]3)[n:35][cH:36]1)[CH2:37]2)[O:38][CH:39]1[CH2:40][CH2:41][CH2:42]1,,"[('b', 73, 524)]",782
12540,Cl[CH2:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]1.[cH:13]1[cH:14][nH:15][n:16][n:17]1,[CH2:1]([CH2:2][CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11][cH:12]1)[n:15]1[cH:14][cH:13][n:17][n:16]1,,"[('b', 23, 511)]",307
12541,Br[c:1]1[cH:2][cH:3][c:4](-[c:5]2[n:6][c:7]3[c:8]([s:9]2)[CH2:10][CH2:11][N:12]([CH:13]2[CH2:14][CH2:15][CH2:16]2)[CH2:17][CH2:18]3)[cH:19][cH:20]1.[CH3:21][N:22]1[CH2:23][CH2:24][NH:25][C:26]1=[O:27],[c:1]1([N:25]2[CH2:24][CH2:23][N:22]([CH3:21])[C:26]2=[O:27])[cH:2][cH:3][c:4](-[c:5]2[n:6][c:7]3[c:8]([s:9]2)[CH2:10][CH2:11][N:12]([CH:13]2[CH2:14][CH2:15][CH2:16]2)[CH2:17][CH2:18]3)[cH:19][cH:20]1,,"[('b', 1, 521)]",553
12542,CCO[C:1](=[O:2])[c:3]1[n:4][cH:5][c:6]2[c:7]([C:8]3=[CH:9][CH2:10][CH2:11][CH2:12][CH2:13]3)[n:14][o:15][c:16]2[c:17]1[OH:18].[NH2:19][CH2:20][C:21](=[O:22])[OH:23],[C:1](=[O:2])([c:3]1[n:4][cH:5][c:6]2[c:7]([C:8]3=[CH:9][CH2:10][CH2:11][CH2:12][CH2:13]3)[n:14][o:15][c:16]2[c:17]1[OH:18])[NH:19][CH2:20][C:21](=[O:22])[OH:23],,"[('b', 35, 510)]",287
12543,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][NH:11][S:12](=[O:13])(=[O:14])[c:15]1[cH:16][cH:17][cH:18][c:19]([C:20]#[N:21])[cH:22]1,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][NH:11][S:12](=[O:13])(=[O:14])[c:15]1[cH:16][cH:17][cH:18][c:19]([CH2:20][NH2:21])[cH:22]1,,"[('b', 38, 502), ('b', 39, 502)]",179
12544,O[C:1]([CH2:2][O:3][c:4]1[cH:5][cH:6][cH:7][c:8]2[n:9][cH:10][n:11][c:12]([NH:13][c:14]3[cH:15][cH:16][c:17]([O:18][c:19]4[cH:20][cH:21][c:22]([CH3:23])[n:24][cH:25]4)[c:26]([CH3:27])[cH:28]3)[c:29]12)=[O:30].[CH3:31][NH:32][CH2:33][CH2:34][OH:35],[C:1]([CH2:2][O:3][c:4]1[cH:5][cH:6][cH:7][c:8]2[n:9][cH:10][n:11][c:12]([NH:13][c:14]3[cH:15][cH:16][c:17]([O:18][c:19]4[cH:20][cH:21][c:22]([CH3:23])[n:24][cH:25]4)[c:26]([CH3:27])[cH:28]3)[c:29]12)(=[O:30])[N:32]([CH3:31])[CH2:33][CH2:34][OH:35],,"[('b', 59, 533)]",4537
12545,O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][cH:9]1.[CH3:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[CH2:17][CH2:18][NH2:19],[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][cH:9]1)[NH:19][CH2:18][CH2:17][c:16]1[c:11]([CH3:10])[cH:12][cH:13][cH:14][cH:15]1,,"[('b', 17, 533)]",4537
12546,O=[C:1]([CH2:2][CH2:3][CH2:4][CH3:5])[c:6]1[cH:7][cH:8][c:9]([Br:10])[cH:11][cH:12]1,[CH2:1]([CH2:2][CH2:3][CH2:4][CH3:5])[c:6]1[cH:7][cH:8][c:9]([Br:10])[cH:11][cH:12]1,,"[('a', 0, 119)]",433
12547,Cl[C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1.[CH3:20][c:21]1[cH:22][nH:23][cH:24][n:25]1,[C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[n:23]1[cH:22][c:21]([CH3:20])[n:25][cH:24]1,,"[('b', 37, 511)]",307
12548,c1ccc(C[O:1][CH:2]([CH2:3][O:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH3:22])[CH2:23][O:24][P:25](=[O:26])([O-:27])[O:28][CH2:29][CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][N+:39]([CH3:40])([CH3:41])[CH3:42])cc1,[OH:1][CH:2]([CH2:3][O:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH3:22])[CH2:23][O:24][P:25](=[O:26])([O-:27])[O:28][CH2:29][CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][N+:39]([CH3:40])([CH3:41])[CH3:42],,"[('a', 0, 118)]",385
12549,F[c:1]1[cH:2][cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([NH:10][c:11]3[cH:12][c:13]([CH3:14])[c:15]([OH:16])[cH:17][cH:18]3)[c:19]12.[CH3:20][C@@H:21]([OH:22])[CH2:23][NH2:24],[c:1]1([O:22][C@H:21]([CH3:20])[CH2:23][NH2:24])[cH:2][cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([NH:10][c:11]3[cH:12][c:13]([CH3:14])[c:15]([OH:16])[cH:17][cH:18]3)[c:19]12,,"[('b', 1, 504)]",235
12550,CC1(C)OB([B:17]2[O:16][C:14]([CH3:13])([CH3:15])[C:19]([CH3:20])([CH3:21])[O:18]2)OC1(C)C.Br[c:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[N:7]([CH3:8])[C:9](=[O:10])[CH2:11][O:12]2,[c:1]1([B:17]2[O:16][C:14]([CH3:13])([CH3:15])[C:19]([CH3:20])([CH3:21])[O:18]2)[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[N:7]([CH3:8])[C:9](=[O:10])[CH2:11][O:12]2,,"[('b', 0, 442)]",32
12551,[CH3:11][O:12][C:13](=[O:14])[c:15]1[cH:16][c:17]([Br:18])[cH:19][cH:20][c:21]1[NH2:22].Cl[C:1](=[O:2])[CH2:3][O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1,[C:1](=[O:2])([CH2:3][O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:22][c:21]1[c:15]([C:13]([O:12][CH3:11])=[O:14])[cH:16][c:17]([Br:18])[cH:19][cH:20]1,,"[('b', 19, 532)]",2537
12552,[O:3]=[C:4]1[CH2:5][CH:6]2[CH2:7][NH:8][CH2:9][CH2:10][N:11]2[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[NH:18]1.Br[CH2:1][CH3:2],[CH2:1]([CH3:2])[N:8]1[CH2:7][CH:6]2[CH2:5][C:4](=[O:3])[NH:18][c:17]3[c:12]([cH:13][cH:14][cH:15][cH:16]3)[N:11]2[CH2:10][CH2:9]1,,"[('b', 3, 529)]",955
