,Template,edit_site,change_H,change_C,change_S,Frequency
117,[N:1]-[C:2]>>[N:1].Cl-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",43
118,[N:1]-[C:2]>>[N:1].C-C-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",6
119,[N:1]-[C:2]>>[N:1].O=[C:2]_2-1_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -1, 1: 2}","{2: 0, 1: 1}","{2: 0, 1: 0}",29
120,[c:1]:[c:4]:[c:3]:[n:2]>>[c:1].N-[N:2].O=[C:3]-[C:4]_1002_0000_0000,"{'A': [], 'B': [(2, 3), (1, 4)], 'C': [], 'R': []}","{2: 0, 1: 1, 4: 2, 3: 0}","{2: 0, 1: 0, 4: 0, 3: 0}","{2: 0, 1: 0, 4: 0, 3: 0}",39
121,[c:1]-[c:2]>>Br-[c:1].C-C1-O-B(-[c:2])-O-C-1-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
122,[N:1]-[C:2]>>[N:1].I-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",258
123,[O:1]-[C:3]-[c:2]>>[O:1].[c:2].O=[C:3]_110_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{3: 0, 2: 1, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",2
124,[O:1]-[c:2]>>[O:1].Br-[c:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",11
125,[N:1]=[C:2]>>[N:1].Cl-[C:2]-Cl_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 0}","{2: 0, 1: 0}",18
126,[N:1]>>C-O-c1:c:c:c(-C-[N:1]):c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},27
127,[c:1]-[C:2]>>I-[c:1].C-C1(-C)-O-B(-[C:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",13
128,[C:1]-[C:2]>>I-[C:1].I-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
129,[C:1]-[C:2]-[C:3]-[N:4]>>[c:1]:[c:2]:[c:3]:[n:4]_-1-1-1-1_0000_0000,"{'A': [], 'B': [], 'C': [(3, 2), (2, 3), (3, 4), (4, 3), (2, 1), (1, 2)], 'R': []}","{3: -1, 2: -1, 1: -1, 4: -1}","{3: 0, 2: 0, 1: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 4: 0}",9
130,[c:1]-[C:2]>>I-[c:1].C-O-N(-C)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",4
131,[N:1]-[c:2]>>[N:1].F-C(-F)(-F)-S(=O)(=O)-O-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",36
132,[c:1]-[B:2]>>Br-[c:1].C-C1(-C)-O-B(-[B:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",32
133,[c:1]1:[n:3]:[n:4]:[n:5]:[n:2]:1>>[C:1]#[N:2].[N:3]=[N:4]=[N:5]_00-100_00-11-1_00000,"{'A': [], 'B': [(2, 5), (1, 3)], 'C': [], 'R': []}","{5: 0, 4: 0, 3: -1, 1: 0, 2: 0}","{5: -1, 4: 1, 3: -1, 1: 0, 2: 0}","{5: 0, 4: 0, 3: 0, 1: 0, 2: 0}",29
134,[c:1]-[C:2]>>I-[c:1].[C:2]-[Zn+]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",4
135,[c:1]-[c:2]>>O-B(-O)-[c:1].F-C(-F)(-F)-S(=O)(=O)-O-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",43
136,[c:1]-[C:2]>>[c:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",109
137,[S:1]-[C:2]>>[S:1].Br-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",14
138,[c:1]-[C:2]>>[Mg+]-[c:1].C-O-N(-C)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",8
139,[C:1]-[Br:2]>>O-[C:1].Br-C(-Br)(-Br)-[Br:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",60
140,[C:1]-[C:2]-[O:3]>>Cl-[C:1].[C:2]=[O:3]_00-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",6
141,[c:3]1:[c:4]:[c:5]:[n:1]:[n:2]:1>>[N:1]-[N:2].O=[C:3]-[C:4]-[C:5]=O_21010_00000_00000,"{'A': [], 'B': [(2, 3), (1, 5)], 'C': [], 'R': []}","{3: 0, 4: 1, 5: 0, 1: 2, 2: 1}","{3: 0, 4: 0, 5: 0, 1: 0, 2: 0}","{3: 0, 4: 0, 5: 0, 1: 0, 2: 0}",12
142,[c:1]-[c:2]>>Cl-[c:1].Cl-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
143,[O:1]-[c:2]>>[O:1].Cl-[c:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: -1, 2: 0}","{1: 0, 2: 0}",63
144,[n:1]-[C:2]>>[n:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",42
145,[c:1]-[C:2]>>[c:1].C-N(-C)-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",75
146,[c:1]-[C:2]>>Br-[c:1].C-C1(-C)-O-B(-[C:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",28
147,[C:1]-[C:2]-[O:3]>>[C:1]-[Mg+].[C:2]=[O:3]_00-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: -1, 1: 0}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",153
148,[O:1]-[C:2]>>[O:1].C-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",54
149,[C:1]#[N:2]>>O=[C:1]-[N:2]_02_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: 0, 2: 2}","{1: 0, 2: 0}","{1: 0, 2: 0}",77
150,[c:1]-[c:2]>>Cl-[c:1].[Zn+]-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",3
151,[O:1]>>Cl-C-C(=O)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2
152,[N:1]-[C:2]>>[N:1].I-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",24
153,[n:1]-[C:2]>>[n:1].I-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",164
154,[O:1]>>[O:1]-C1-C-C-C-C-O-1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},53
155,[N:1]>>[N-]=[N+]=[N:1]_-2_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 0},{1: 0},134
156,[O:1]-[C:2]-[N:3]>>[O:1].[C:2]=[N:3]_10-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",65
157,[O:1]>>C-C(-C)-C(=O)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2
158,[c:2]1:[c:1]:[s:5]:[c:4]:[n:3]:1>>Br-[C:1]-[C:2]=O.[N:3]-[C:4]=[S:5]_10200_00000_00000,"{'A': [], 'B': [(2, 3), (1, 5)], 'C': [], 'R': []}","{2: 0, 1: 1, 5: 0, 4: 0, 3: 2}","{2: 0, 1: 0, 5: 0, 4: 0, 3: 0}","{2: 0, 1: 0, 5: 0, 4: 0, 3: 0}",33
159,[O:1]-[c:2]>>[O:1].O-B(-O)-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",28
160,[C:1]-[C:2]>>Cl-[C:1].[C:2]-[Mg+]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",3
161,[c:1]1:[c:2]:[n:3]:[n:4]:[n:5]:1>>[C:1]#[C:2].[N:3]=[N:4]=[N:5]_00000_00-110_00000,"{'A': [], 'B': [(1, 5), (2, 3)], 'C': [], 'R': []}","{5: 0, 4: 0, 3: 0, 2: 0, 1: 0}","{5: 0, 4: 1, 3: -1, 2: 0, 1: 0}","{5: 0, 4: 0, 3: 0, 2: 0, 1: 0}",27
162,[c:1]-[C:2]>>Br-[c:1].[C:2]-[Zn+]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",24
163,[c:1]-[C:2]>>I-[c:1].[C:2]-[Cu]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",8
164,[C:2]-[N:1]-[C:3]>>[N:1].Cl-[C:2].Cl-[C:3]_200_000_000,"{'A': [], 'B': [(1, 2), (1, 3)], 'C': [], 'R': []}","{2: 0, 3: 0, 1: 2}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",24
165,[c:1]:[c:3]:[c:4]:[c:5]:[n:2]>>[c:1].[N:2].C-O-[C:3]-[C:4]-[C:5]=O_11010_00000_00000,"{'A': [], 'B': [(1, 3), (2, 5)], 'C': [], 'R': []}","{3: 0, 4: 1, 5: 0, 2: 1, 1: 1}","{3: 0, 4: 0, 5: 0, 2: 0, 1: 0}","{3: 0, 4: 0, 5: 0, 2: 0, 1: 0}",3
166,[C:3]1-[C:1]-[O:2]-1>>[C:1]=[O:2].C-[S+](-C)(=O)-[C:3]_001_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{3: 1, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",7
167,[c:2]:[c:3]:[c:4]:[n:1]>>[N:1].Br-[c:2].[C:3]#[C:4]_1000_0000_0000,"{'A': [], 'B': [(2, 3), (1, 4)], 'C': [], 'R': []}","{2: 0, 1: 1, 4: 0, 3: 0}","{2: 0, 1: 0, 4: 0, 3: 0}","{2: 0, 1: 0, 4: 0, 3: 0}",2
168,[C:1]-[C:2]-[O:3]>>I-[C:1].[C:2]=[O:3]_00-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",3
169,[N:1]-[c:2]>>[N:1].I-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",107
170,[N:1]-[S:2]>>[N:1].O-[S:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",16
171,[N:1]-[C:2]>>[N:1].[C:2]-[O-]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",56
172,[c:2]1:[c:3]:[c:4]:[c:5]:[n:1]:1>>[N:1].O=[C:2]-[C:3]-[C:4]-[C:5]=O_20110_00000_00000,"{'A': [], 'B': [(1, 2), (1, 5)], 'C': [(3, 4), (4, 3)], 'R': []}","{2: 0, 3: 1, 4: 1, 5: 0, 1: 2}","{2: 0, 3: 0, 4: 0, 5: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 5: 0, 1: 0}",34
173,[C:1]=[C:2]>>C=[C:1].C=[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",15
174,[N:1]-[c:2]>>[N:1].Br-[c:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",5
175,[O:1]>>C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C(=O)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2
176,[n:1]-[S:2]>>[n:1].Cl-[S:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",52
177,[C:2]-[C:3]-[c:1]>>[c:1].[C:2]=[C:3]_1-10_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 1, 2: -1, 3: 0}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",2
178,[O:1]-[C:2]>>[O:1].[C:2]=[N+]=[N-]_1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",18
179,[N:2]-[C:3]-[c:1]>>[c:1].[N:2].O=[C:3]_110_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{3: 0, 2: 1, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",6
180,[N:1]-[C:2]>>[N:1].C-C-O-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
181,[c:1]-[Br:2]>>N-[c:1].Br-C(-Br)-[Br:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
182,[O:1]-[C:2]>>[O:1].Cl-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",26
183,[S:1]-[c:2]>>[S:1].I-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",18
184,[N:1]-[C:2]>>[N:1].Cl-C(-Cl)(-Cl)-C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",17
185,[C:1]-[C:2]>>[C:1]#[C:2]_-2-2_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{2: -2, 1: -2}","{2: 0, 1: 0}","{2: 0, 1: 0}",71
186,[N:1]>>F-C(-F)(-F)-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},59
187,[c:1]-[C:2]>>Br-[c:1].C-[CH2]-[Sn](-[C:2])(-[CH2]-C)-[CH2]-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",3
188,[C:2]-[N:1]-[C:3]>>[N:1].[C:2]-O-[C:3]_200_000_000,"{'A': [], 'B': [(1, 2), (1, 3)], 'C': [], 'R': []}","{2: 0, 3: 0, 1: 2}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",11
189,[C:1]-[c:2]>>[C:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",24
190,[c:1]-[c:2]>>I-[c:1].C-C-C-[CH2]-[Sn](-[c:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",21
191,[S:1]-[C:3]-[S:2]>>[S:1].[S:2].O=[C:3]_110_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: 0, 1: 1, 2: 1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",5
192,[c:1]-[C:2]>>Br-[c:1].O-B(-O)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",42
193,[c:1]-[c:2]>>Br-[c:1].I-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",15
194,[S:1]-[c:2]>>[S:1].F-[c:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",6
195,[n:1]-[c:2]>>[n:1].I-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",42
196,[I:1]>>C-N-[C@@H]1-C-C-[C@@H](-c2:c:c:c(-Cl):c(-Cl):c:2)-c2:c:c:c(-[I:1]):c:c:2-1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
197,[C:1]=[C:2]>>O=[C:1].O=[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",12
198,[N:1]-[C:2]>>[N:1].O-[C:2]_10_00_01,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 1, 1: 0}",4
199,[C:1]1-[C:2]-[O:3]-1>>C-[S+](-C)-[C:1].[C:2]=[O:3]_100_000_000,"{'A': [], 'B': [(1, 2), (1, 3)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",3
200,[C:1]-[c:2]>>Br-[C:1].O-B(-O)-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",22
201,[O:1]=[C:2]>>C1-C-[O:1]-[C:2]-O-1_00_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",90
202,[O:1]>>C-C-C-C(=O)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2
203,[O:1]>>C-C(-C)-[Si](-[O:1])(-C(-C)-C)-C(-C)-C_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},12
204,[S:1]-[C:2]>>[S:1].Cl-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",6
205,[C:1]=[C:2]>>[C:1]#[C:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",19
206,[C:1]-[P:3]=[O:2]>>Cl-[C:1].C-C-[O:2]-[P:3]_000_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",4
207,[c:1]:[n:2]:[c:3]:[n:4]>>O=[C:1].[N:2]=[C:3]\[N:4]_0200_0000_0000,"{'A': [], 'B': [(1, 2)], 'C': [(4, 3), (3, 4)], 'R': []}","{1: 0, 4: 0, 3: 0, 2: 2}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}",2
208,[O:1]>>C-O-C-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},33
209,[c:1]:[n:3]:[n:4]:[c:2]>>F-[c:1].O=[C:2].[N:3]-[N:4]_0012_0000_0000,"{'A': [], 'B': [(2, 4), (1, 3)], 'C': [], 'R': []}","{2: 0, 1: 0, 3: 1, 4: 2}","{2: 0, 1: 0, 3: 0, 4: 0}","{2: 0, 1: 0, 3: 0, 4: 0}",4
210,[c:1]-[c:2]>>Br-[c:1].[CH3]-[Sn](-[CH3])(-[CH3])-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",15
211,[C:2]-[O:4]-[C:3]-[O:1]>>[O:1].O-[C:2].[C:3]=[O:4]_1000_0000_0000,"{'A': [], 'B': [(2, 4), (1, 3)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: 0, 4: 0}","{2: 0, 1: 0, 3: 0, 4: 0}","{2: 0, 1: 0, 3: 0, 4: 0}",47
212,[C:1]-[c:2]>>[C:1].Br-[c:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",60
213,[N:1]>>O=C(-[N:1])-c1:c:c:c:c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},20
214,[C:1]-[C:2]-[C:3]=[N:4]>>[c:1]:[c:2]:[c:3]:[n:4]_-1-100_0000_0000,"{'A': [], 'B': [], 'C': [(3, 4), (4, 3), (3, 2), (2, 3), (2, 1), (1, 2)], 'R': []}","{3: 0, 4: 0, 1: -1, 2: -1}","{3: 0, 4: 0, 1: 0, 2: 0}","{3: 0, 4: 0, 1: 0, 2: 0}",1
215,[c:1]-[c:2]>>I-[c:1].I-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",4
216,[N:1]-[c:2]>>[N:1].O-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",18
217,[n:1]>>C-C(-C)(-C)-O-C(=O)-[n:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},30
218,[c:1]-[C:2]>>Br-[c:1].[C:2]-[Cu]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",33
219,[C:1]>>C-C-O-C(=O)-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},14
220,[C:1]-[C:2]>>[C:1].C-S(=O)(=O)-O-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",9
221,[N:1]-[c:2]>>[N:1].Cl-[c:2]_20_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 1}","{2: 0, 1: 0}",11
222,[c:1]-[C:2]>>Cl-[c:1].O-B(-O)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",10
223,[N:1]-[C:2]>>[N:1].O-[C:2]_10_00_02,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 2, 1: 0}",4
224,[c:1]-[C:2]>>Cl-[c:1].C-C1(-C)-O-B(-[C:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",15
225,[C:1]#[C:2]>>Br-[C:1](-Br)=[C:2]_-11_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: -1, 2: 1}","{1: 0, 2: 0}","{1: 0, 2: 0}",7
226,[N:1]-[c:2]>>[N:1].O-B(-O)-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",14
227,[O:1]>>C-[Si](-C)(-C)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},8
