,Reactants,Products,Reagents,Labels,Frequency
10883,C1C[O:2][C:1]2(O1)[C@@H:3]([CH3:4])[C@@H:5]1[CH2:6][CH2:7][c:8]3[cH:9][n:10][cH:11][n:12][c:13]3[C@@:14]1([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[CH2:21][CH2:22]2,[C:1]1(=[O:2])[C@@H:3]([CH3:4])[C@@H:5]2[CH2:6][CH2:7][c:8]3[cH:9][n:10][cH:11][n:12][c:13]3[C@@:14]2([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[CH2:21][CH2:22]1,,"[('a', 0, 106), ('a', 1, 106)]",90
10884,O[CH2:2][CH2:3][CH2:4][C:5]([F:6])([F:7])[C:8]([F:9])([F:10])[C:11]([F:12])([F:13])[C:14]([F:15])([F:16])[C:17]([F:18])([F:19])[C:20]([F:21])([F:22])[C:23]([F:24])([F:25])[C:26]([F:27])([F:28])[F:29].BrC(Br)(Br)[Br:1],[Br:1][CH2:2][CH2:3][CH2:4][C:5]([F:6])([F:7])[C:8]([F:9])([F:10])[C:11]([F:12])([F:13])[C:14]([F:15])([F:16])[C:17]([F:18])([F:19])[C:20]([F:21])([F:22])[C:23]([F:24])([F:25])[C:26]([F:27])([F:28])[F:29],,"[('b', 1, 392)]",60
10885,Br[c:1]1[cH:2][cH:3][c:4]([O:5][CH2:6][CH:7]2[CH2:8][CH2:9][N:10]([C:11]([O:12][CH:13]([CH3:14])[CH3:15])=[O:16])[CH2:17][CH2:18]2)[cH:19][cH:20]1.OB(O)[c:21]1[cH:22][cH:23][c:24]([S:25][CH3:26])[cH:27][cH:28]1,[c:1]1(-[c:21]2[cH:22][cH:23][c:24]([S:25][CH3:26])[cH:27][cH:28]2)[cH:2][cH:3][c:4]([O:5][CH2:6][CH:7]2[CH2:8][CH2:9][N:10]([C:11]([O:12][CH:13]([CH3:14])[CH3:15])=[O:16])[CH2:17][CH2:18]2)[cH:19][cH:20]1,,"[('b', 0, 447)]",900
10886,Cl[CH2:1][C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[O:10][CH2:11][CH2:12][c:13]1[cH:14][c:15]([C:16]([N:17]([CH3:18])[c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[Cl:25])=[O:26])[s:27][c:28]1-2)=[O:29].[CH3:30][N:31]1[CH2:32][CH2:33][NH:34][CH2:35][CH2:36]1,[CH2:1]([C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[O:10][CH2:11][CH2:12][c:13]1[cH:14][c:15]([C:16]([N:17]([CH3:18])[c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[Cl:25])=[O:26])[s:27][c:28]1-2)=[O:29])[N:34]1[CH2:33][CH2:32][N:31]([CH3:30])[CH2:36][CH2:35]1,,"[('b', 57, 452)]",2537
10887,Cl[c:1]1[n:2][c:3]([NH:4][c:5]2[c:6]([S:7]([N:8]([CH3:9])[CH3:10])(=[O:11])=[O:12])[cH:13][cH:14][cH:15][cH:16]2)[c:17]([Cl:18])[cH:19][n:20]1.[NH2:21][c:22]1[cH:23][cH:24][c:25]2[c:26]([cH:27]1)[CH2:28][CH2:29][N:30]([C:31](=[O:32])[CH:33]1[CH2:34][O:35][CH2:36][CH2:37][O:38]1)[CH2:39][CH2:40]2,[c:1]1([NH:21][c:22]2[cH:23][cH:24][c:25]3[c:26]([cH:27]2)[CH2:28][CH2:29][N:30]([C:31](=[O:32])[CH:33]2[CH2:34][O:35][CH2:36][CH2:37][O:38]2)[CH2:39][CH2:40]3)[n:2][c:3]([NH:4][c:5]2[c:6]([S:7]([N:8]([CH3:9])[CH3:10])(=[O:11])=[O:12])[cH:13][cH:14][cH:15][cH:16]2)[c:17]([Cl:18])[cH:19][n:20]1,,"[('b', 1, 451)]",1916
10888,Br[c:1]1[cH:2][c:3]([C:4]([O:5][CH3:6])=[O:7])[c:8]2[c:9]([cH:10]1)[O:11][C:12]([c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)([c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[O:25]2.Br[c:26]1[n:27][cH:28][cH:29][s:30]1,[c:1]1(-[c:26]2[n:27][cH:28][cH:29][s:30]2)[cH:2][c:3]([C:4]([O:5][CH3:6])=[O:7])[c:8]2[c:9]([cH:10]1)[O:11][C:12]([c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)([c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[O:25]2,,"[('b', 0, 363)]",30
10889,CCO[CH:2]([O:1]CC)[c:3]1[cH:4][cH:5][c:6]([CH:7]2[NH:8][c:9]3[cH:10][cH:11][cH:12][c:13]4[c:14]3[c:15]([n:16][nH:17][c:18]4=[O:19])[CH:20]2[c:21]2[cH:22][cH:23][c:24]([C:25](=[O:26])[N:27]([CH3:28])[CH3:29])[cH:30][cH:31]2)[cH:32][cH:33]1,[O:1]=[CH:2][c:3]1[cH:4][cH:5][c:6]([CH:7]2[NH:8][c:9]3[cH:10][cH:11][cH:12][c:13]4[c:14]3[c:15]([n:16][nH:17][c:18]4=[O:19])[CH:20]2[c:21]2[cH:22][cH:23][c:24]([C:25](=[O:26])[N:27]([CH3:28])[CH3:29])[cH:30][cH:31]2)[cH:32][cH:33]1,,"[('a', 0, 92), ('a', 1, 92)]",21
10890,CC[O:1][C:2](=[O:3])[CH2:4][CH:5]1[CH2:6][CH2:7][CH2:8][n:9]2[c:10]1[c:11](-[c:12]1[cH:13][cH:14][c:15]([Cl:16])[cH:17][cH:18]1)[c:19]1[c:20]([S:21]([CH3:22])=[O:23])[cH:24][cH:25][cH:26][c:27]21,[OH:1][C:2](=[O:3])[CH2:4][CH:5]1[CH2:6][CH2:7][CH2:8][n:9]2[c:10]1[c:11](-[c:12]1[cH:13][cH:14][c:15]([Cl:16])[cH:17][cH:18]1)[c:19]1[c:20]([S:21]([CH3:22])=[O:23])[cH:24][cH:25][cH:26][c:27]21,,"[('a', 0, 120)]",1123
10891,C[O:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([CH2:8][n:9]2[c:10](=[O:11])[c:12]([Cl:13])[c:14]([O:15][CH2:16][c:17]3[cH:18][cH:19][c:20]([F:21])[cH:22][c:23]3[F:24])[cH:25][c:26]2[CH3:27])[cH:28][cH:29]1,[OH:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([CH2:8][n:9]2[c:10](=[O:11])[c:12]([Cl:13])[c:14]([O:15][CH2:16][c:17]3[cH:18][cH:19][c:20]([F:21])[cH:22][c:23]3[F:24])[cH:25][c:26]2[CH3:27])[cH:28][cH:29]1,,"[('a', 0, 123)]",1797
10892,C[O:1][C:2](=[O:3])[C@H:4]([CH2:5][OH:6])[NH:7][S:8](=[O:9])(=[O:10])[c:11]1[cH:12][cH:13][c:14](-[c:15]2[s:16][c:17]([NH:18][C:19]([CH3:20])=[O:21])[n:22][c:23]2[CH3:24])[s:25]1,[OH:1][C:2](=[O:3])[C@H:4]([CH2:5][OH:6])[NH:7][S:8](=[O:9])(=[O:10])[c:11]1[cH:12][cH:13][c:14](-[c:15]2[s:16][c:17]([NH:18][C:19]([CH3:20])=[O:21])[n:22][c:23]2[CH3:24])[s:25]1,,"[('a', 0, 123)]",1797
10893,[CH3:8][CH2:9][c:10]1[cH:11][cH:12][n:13][c:14]([NH:15][C:16](=[O:17])[c:18]2[cH:19][cH:20][c:21](-[c:22]3[n:23][c:24]([C@@H:25]4[CH2:26][CH2:27][CH2:28][NH:29]4)[n:30]4[cH:31][cH:32][n:33][c:34]([NH2:35])[c:36]34)[cH:37][cH:38]2)[cH:39]1.O[C:1](/[CH:2]=[CH:3]/[CH2:4][O:5][CH3:6])=[O:7],[C:1](/[CH:2]=[CH:3]/[CH2:4][O:5][CH3:6])(=[O:7])[N:29]1[C@H:25]([c:24]2[n:23][c:22](-[c:21]3[cH:20][cH:19][c:18]([C:16]([NH:15][c:14]4[n:13][cH:12][cH:11][c:10]([CH2:9][CH3:8])[cH:39]4)=[O:17])[cH:38][cH:37]3)[c:36]3[n:30]2[cH:31][cH:32][n:33][c:34]3[NH2:35])[CH2:26][CH2:27][CH2:28]1,,"[('b', 13, 453)]",4537
10894,C[O:1][C:2](=[O:3])[CH2:4][N:5]1[CH2:6][CH2:7][N:8]([CH:9]([CH2:10][O:11][CH2:12][c:13]2[cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[cH:20][c:21]([C:22]([F:23])([F:24])[F:25])[cH:26]2)[c:27]2[cH:28][cH:29][cH:30][cH:31][c:32]2[NH2:33])[CH2:34][CH2:35]1,[OH:1][C:2](=[O:3])[CH2:4][N:5]1[CH2:6][CH2:7][N:8]([CH:9]([CH2:10][O:11][CH2:12][c:13]2[cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[cH:20][c:21]([C:22]([F:23])([F:24])[F:25])[cH:26]2)[c:27]2[cH:28][cH:29][cH:30][cH:31][c:32]2[NH2:33])[CH2:34][CH2:35]1,,"[('a', 0, 123)]",1797
10895,[CH3:16][O:17][c:18]1[cH:19][cH:20][c:21]([CH:22]([O:23][CH:24]([c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[CH:31]2[CH2:32][CH:33]([OH:34])[CH2:35][N:36]2[C:37](=[O:38])[CH2:39][CH2:40][CH2:41][CH2:42][CH2:43][NH2:44])[c:45]2[cH:46][cH:47][c:48]([O:49][CH3:50])[cH:51][cH:52]2)[cH:53][cH:54]1.O[C:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH3:14])=[O:15],[C:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH3:14])(=[O:15])[NH:44][CH2:43][CH2:42][CH2:41][CH2:40][CH2:39][C:37]([N:36]1[CH:31]([CH:24]([O:23][CH:22]([c:21]2[cH:20][cH:19][c:18]([O:17][CH3:16])[cH:54][cH:53]2)[c:45]2[cH:46][cH:47][c:48]([O:49][CH3:50])[cH:51][cH:52]2)[c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[CH2:32][CH:33]([OH:34])[CH2:35]1)=[O:38],,"[('b', 29, 453)]",4537
10896,Cl[c:1]1[n:2][c:3]([S:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][c:10]([F:11])[c:12]2[F:13])[n:14][c:15]2[n:16][c:17]([NH2:18])[s:19][c:20]12.[CH3:21][C:22]([CH3:23])([CH3:24])[O:25][C:26](=[O:27])[N:28]1[CH2:29][CH2:30][C@@H:31]([NH2:32])[CH2:33]1,[c:1]1([NH:32][C@@H:31]2[CH2:30][CH2:29][N:28]([C:26]([O:25][C:22]([CH3:21])([CH3:23])[CH3:24])=[O:27])[CH2:33]2)[n:2][c:3]([S:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][c:10]([F:11])[c:12]2[F:13])[n:14][c:15]2[n:16][c:17]([NH2:18])[s:19][c:20]12,,"[('b', 1, 451)]",1916
10897,[CH3:6][S:7][c:8]1[cH:9][cH:10][cH:11][c:12]([O:13][c:14]2[n:15][cH:16][c:17]([F:18])[cH:19][c:20]2[C:21](=[O:22])[NH:23][C@H:24]2[CH2:25][CH2:26][C@@H:27]([NH2:28])[CH2:29][CH2:30]2)[cH:31]1.O[C:1](=[O:2])[CH:3]1[CH2:4][CH2:5]1,[C:1](=[O:2])([CH:3]1[CH2:4][CH2:5]1)[NH:28][C@@H:27]1[CH2:26][CH2:25][C@H:24]([NH:23][C:21]([c:20]2[c:14]([O:13][c:12]3[cH:11][cH:10][cH:9][c:8]([S:7][CH3:6])[cH:31]3)[n:15][cH:16][c:17]([F:18])[cH:19]2)=[O:22])[CH2:30][CH2:29]1,,"[('b', 9, 453)]",4537
10898,[O:10]=[C:11]([O:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[N:20]1[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]1.O[C:1]([C@@H:2]([CH2:3][C:4]([O:5][CH3:6])=[O:7])[OH:8])=[O:9],[C:1]([C@@H:2]([CH2:3][C:4]([O:5][CH3:6])=[O:7])[OH:8])(=[O:9])[N:23]1[CH2:22][CH2:21][N:20]([C:11](=[O:10])[O:12][CH2:13][c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[CH2:25][CH2:24]1,,"[('b', 17, 453)]",4537
10899,[N-:2]=[N+:3]=[N:4][CH2:5][CH:6]([OH:7])[CH2:8][n:9]1[cH:10][c:11]([N+:12](=[O:13])[O-:14])[n:15][c:16]1[Cl:17].I[CH3:1],[CH3:1][O:7][CH:6]([CH2:5][N:4]=[N+:3]=[N-:2])[CH2:8][n:9]1[cH:10][c:11]([N+:12](=[O:13])[O-:14])[n:15][c:16]1[Cl:17],,"[('b', 1, 431)]",307
10900,Br[CH2:1][c:2]1[n:3][c:4]2[c:5]([N:6]3[CH2:7][CH2:8][O:9][CH2:10][CH2:11]3)[n:12][c:13](-[n:14]3[c:15]([CH3:16])[n:17][c:18]4[cH:19][cH:20][cH:21][cH:22][c:23]34)[n:24][c:25]2[n:26]1[CH3:27].[CH3:28][NH:29][CH:30]1[CH2:31][CH2:32][N:33]([CH:34]([CH3:35])[CH3:36])[CH2:37][CH2:38]1,[CH2:1]([c:2]1[n:3][c:4]2[c:5]([N:6]3[CH2:7][CH2:8][O:9][CH2:10][CH2:11]3)[n:12][c:13](-[n:14]3[c:15]([CH3:16])[n:17][c:18]4[cH:19][cH:20][cH:21][cH:22][c:23]34)[n:24][c:25]2[n:26]1[CH3:27])[N:29]([CH3:28])[CH:30]1[CH2:31][CH2:32][N:33]([CH:34]([CH3:35])[CH3:36])[CH2:37][CH2:38]1,,"[('b', 53, 449)]",955
10901,[CH3:5][C:6]1([CH2:7][CH:8]([CH2:9][OH:10])[NH:11][C:12](=[O:13])[O:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]1.Cl[S:1]([CH3:2])(=[O:3])=[O:4],[S:1]([CH3:2])(=[O:3])(=[O:4])[O:10][CH2:9][CH:8]([CH2:7][C:6]1([CH3:5])[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]1)[NH:11][C:12](=[O:13])[O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,,"[('b', 7, 433)]",366
10902,O[C:1]([c:2]1[n:3][c:4]([C:5]([F:6])([F:7])[F:8])[n:9]2[c:10]1[CH2:11][N:12]([C:13]([CH2:14][C@H:15]([NH:16][C:17]([O:18][C:19]([CH3:20])([CH3:21])[CH3:22])=[O:23])[CH2:24][c:25]1[cH:26][c:27]([F:28])[c:29]([F:30])[cH:31][c:32]1[F:33])=[O:34])[CH2:35][CH2:36]2)=[O:37].[CH2:38]1[CH2:39][CH2:40][NH:41][CH2:42]1,[C:1]([c:2]1[n:3][c:4]([C:5]([F:6])([F:7])[F:8])[n:9]2[c:10]1[CH2:11][N:12]([C:13]([CH2:14][C@H:15]([NH:16][C:17]([O:18][C:19]([CH3:20])([CH3:21])[CH3:22])=[O:23])[CH2:24][c:25]1[cH:26][c:27]([F:28])[c:29]([F:30])[cH:31][c:32]1[F:33])=[O:34])[CH2:35][CH2:36]2)(=[O:37])[N:41]1[CH2:40][CH2:39][CH2:38][CH2:42]1,,"[('b', 73, 453)]",4537
10903,OB(O)[c:1]1[cH:2][cH:3][c:4](-[c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[c:11]([F:12])[cH:13]1.[CH3:14][O:15][C:16](=[S:17])[c:18]1[cH:19][c:20]([NH2:21])[c:22]([CH3:23])[s:24]1,[c:1]1([NH:21][c:20]2[cH:19][c:18]([C:16]([O:15][CH3:14])=[S:17])[s:24][c:22]2[CH3:23])[cH:2][cH:3][c:4](-[c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[c:11]([F:12])[cH:13]1,,"[('b', 1, 322)]",14
10904,[O:3]=[N+:4]([O-:5])[CH:6]=[C:7]1[NH:8][CH2:9][CH2:10][CH:11]1[CH2:12][c:13]1[cH:14][cH:15][c:16]([Cl:17])[n:18][cH:19]1.I[CH2:1][CH3:2],[CH2:1]([CH3:2])[N:8]1[C:7](=[CH:6][N+:4](=[O:3])[O-:5])[CH:11]([CH2:12][c:13]2[cH:14][cH:15][c:16]([Cl:17])[n:18][cH:19]2)[CH2:10][CH2:9]1,,"[('b', 3, 425)]",258
10905,O[C:1](=[O:2])[CH2:3][NH:4][CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1.[CH3:12][CH2:13][C@H:14]([NH2:15])[C:16]([NH2:17])=[O:18],[C:1](=[O:2])([CH2:3][NH:4][CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[NH:15][C@@H:14]([CH2:13][CH3:12])[C:16]([NH2:17])=[O:18],,"[('b', 21, 453)]",4537
10906,[CH3:14][O:15][c:16]1[cH:17][c:18]([NH2:19])[cH:20][cH:21][c:22]1-[n:23]1[cH:24][n:25][c:26]([CH3:27])[cH:28]1.Cl[c:1]1[n:2][c:3]([N:4]2[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]2)[cH:10][c:11]([CH3:12])[n:13]1,[c:1]1([NH:19][c:18]2[cH:17][c:16]([O:15][CH3:14])[c:22](-[n:23]3[cH:24][n:25][c:26]([CH3:27])[cH:28]3)[cH:21][cH:20]2)[n:2][c:3]([N:4]2[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]2)[cH:10][c:11]([CH3:12])[n:13]1,,"[('b', 1, 451)]",1916
10907,[CH3:10][C:11]([CH3:12])([CH3:13])[O:14][C:15](=[O:16])[NH:17][c:18]1[n:19][c:20]([CH2:21][CH2:22][NH2:23])[cH:24][s:25]1.Cl[c:1]1[cH:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][n:9]1,[c:1]1([NH:23][CH2:22][CH2:21][c:20]2[n:19][c:18]([NH:17][C:15]([O:14][C:11]([CH3:10])([CH3:12])[CH3:13])=[O:16])[s:25][cH:24]2)[cH:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][n:9]1,,"[('b', 1, 451)]",1916
10908,[OH:14][CH2:15][c:16]1[cH:17][c:18]([F:19])[c:20]([O:21][c:22]2[cH:23][cH:24][c:25]([F:26])[n:27][cH:28]2)[c:29]([F:30])[cH:31]1.Cl[c:1]1[cH:2][c:3]2[n:4]([c:5](=[O:6])[n:7]1)[CH2:8][C:9]([CH3:10])([CH3:11])[N:12]2[CH3:13],[c:1]1([O:14][CH2:15][c:16]2[cH:17][c:18]([F:19])[c:20]([O:21][c:22]3[cH:23][cH:24][c:25]([F:26])[n:27][cH:28]3)[c:29]([F:30])[cH:31]2)[cH:2][c:3]2[n:4]([c:5](=[O:6])[n:7]1)[CH2:8][C:9]([CH3:10])([CH3:11])[N:12]2[CH3:13],,"[('b', 1, 439)]",452
10909,Cl[c:1]1[c:2]2[cH:3][cH:4][n:5](-[c:6]3[c:7]([CH3:8])[cH:9][cH:10][cH:11][cH:12]3)[c:13]2[c:14]2[c:15]([n:16]1)[c:17]([O:18][C:19]([F:20])([F:21])[F:22])[cH:23][cH:24][cH:25]2.[NH2:26][CH2:27][CH2:28][CH2:29][OH:30],[c:1]1([NH:26][CH2:27][CH2:28][CH2:29][OH:30])[c:2]2[cH:3][cH:4][n:5](-[c:6]3[c:7]([CH3:8])[cH:9][cH:10][cH:11][cH:12]3)[c:13]2[c:14]2[c:15]([n:16]1)[c:17]([O:18][C:19]([F:20])([F:21])[F:22])[cH:23][cH:24][cH:25]2,,"[('b', 1, 451)]",1916
10910,[CH3:8][C:9](=[O:10])[O:11][CH2:12][C@H:13]1[O:14][C@@H:15]([O:16][c:17]2[n:18][n:19]([CH2:20][CH2:21][OH:22])[c:23]([CH:24]([CH3:25])[CH3:26])[c:27]2[CH2:28][c:29]2[cH:30][cH:31][cH:32][cH:33][c:34]2[OH:35])[C@H:36]([O:37][C:38]([CH3:39])=[O:40])[C@@H:41]([O:42][C:43]([CH3:44])=[O:45])[C@@H:46]1[O:47][C:48]([CH3:49])=[O:50].Br[CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1,[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:35][c:34]1[c:29]([CH2:28][c:27]2[c:17]([O:16][C@@H:15]3[O:14][C@H:13]([CH2:12][O:11][C:9]([CH3:8])=[O:10])[C@@H:46]([O:47][C:48]([CH3:49])=[O:50])[C@H:41]([O:42][C:43]([CH3:44])=[O:45])[C@H:36]3[O:37][C:38]([CH3:39])=[O:40])[n:18][n:19]([CH2:20][CH2:21][OH:22])[c:23]2[CH:24]([CH3:25])[CH3:26])[cH:30][cH:31][cH:32][cH:33]1,,"[('b', 13, 448)]",924
10911,C[O:1][C:2](=[O:3])[C@H:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([F:10])[c:11]([Cl:12])[cH:13]1)[NH:14][C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21],[OH:1][C:2](=[O:3])[C@H:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([F:10])[c:11]([Cl:12])[cH:13]1)[NH:14][C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21],,"[('a', 0, 123)]",1797
10912,[NH2:4][c:5]1[n:6][c:7]([Br:8])[cH:9][cH:10][c:11]1[N+:12](=[O:13])[O-:14].O[C:1]([CH3:2])=[O:3],[C:1]([CH3:2])(=[O:3])[NH:4][c:5]1[n:6][c:7]([Br:8])[cH:9][cH:10][c:11]1[N+:12](=[O:13])[O-:14],,"[('b', 5, 453)]",4537
10913,Br[c:1]1[cH:2][cH:3][cH:4][c:5]([CH2:6][N:7]([CH3:8])[C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15])[n:16]1.[NH2:17][C:18](=[O:19])[c:20]1[cH:21][c:22](-[c:23]2[cH:24][cH:25][c:26]([F:27])[cH:28][cH:29]2)[s:30][c:31]1[NH2:32],[c:1]1([NH:32][c:31]2[c:20]([C:18]([NH2:17])=[O:19])[cH:21][c:22](-[c:23]3[cH:24][cH:25][c:26]([F:27])[cH:28][cH:29]3)[s:30]2)[cH:2][cH:3][cH:4][c:5]([CH2:6][N:7]([CH3:8])[C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15])[n:16]1,,"[('b', 1, 441)]",553
10914,[CH:10]#[C:11][c:12]1[cH:13][cH:14][c:15]([CH2:16][CH2:17][CH3:18])[cH:19][cH:20]1.I[c:1]1[cH:2][cH:3][c:4]([C:5]#[N:6])[c:7]([F:8])[cH:9]1,[c:1]1([C:10]#[C:11][c:12]2[cH:13][cH:14][c:15]([CH2:16][CH2:17][CH3:18])[cH:19][cH:20]2)[cH:2][cH:3][c:4]([C:5]#[N:6])[c:7]([F:8])[cH:9]1,,"[('b', 1, 422)]",212
10915,C[O:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([CH2:8][N:9]([c:10]2[cH:11][cH:12][c:13]([Cl:14])[c:15]([Cl:16])[cH:17]2)[c:18]2[n:19][n:20][c:21](-[c:22]3[cH:23][cH:24][cH:25][c:26]([O:27][c:28]4[cH:29][cH:30][cH:31][c:32]([C:33]([F:34])([F:35])[F:36])[cH:37]4)[cH:38]3)[s:39]2)[cH:40][cH:41]1,[OH:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([CH2:8][N:9]([c:10]2[cH:11][cH:12][c:13]([Cl:14])[c:15]([Cl:16])[cH:17]2)[c:18]2[n:19][n:20][c:21](-[c:22]3[cH:23][cH:24][cH:25][c:26]([O:27][c:28]4[cH:29][cH:30][cH:31][c:32]([C:33]([F:34])([F:35])[F:36])[cH:37]4)[cH:38]3)[s:39]2)[cH:40][cH:41]1,,"[('a', 0, 123)]",1797
10916,[CH2:1]=[CH:2][CH2:3][N:4]([CH3:5])[CH2:6]/[CH:7]=[CH:8]/[CH2:9][O:10][c:11]1[cH:12][cH:13][c:14]([C:15]([CH3:16])=[O:17])[cH:18][c:19]1[F:20].[CH3:21][C:22]([CH3:23])=[CH:24][CH:25]=[O:26],[CH2:1]=[CH:2][CH2:3][N:4]([CH3:5])[CH2:6]/[CH:7]=[CH:8]/[CH2:9][O:10][c:11]1[cH:12][cH:13][c:14]([C:15]([CH2:16][CH:25]([CH:24]=[C:22]([CH3:21])[CH3:23])[OH:26])=[O:17])[cH:18][c:19]1[F:20],,"[('b', 30, 385)]",48
10917,[NH2:8][C@H:9]1[CH2:10][CH2:11][C@H:12]([CH2:13][CH2:14][N:15]2[CH2:16][CH2:17][CH:18]([c:19]3[cH:20][cH:21][cH:22][c:23]4[c:24]3[O:25][CH2:26][O:27]4)[CH2:28][CH2:29]2)[CH2:30][CH2:31]1.O[C:1]([C:2]1([CH3:3])[CH2:4][O:5][CH2:6]1)=[O:7],[C:1]([C:2]1([CH3:3])[CH2:4][O:5][CH2:6]1)(=[O:7])[NH:8][C@H:9]1[CH2:10][CH2:11][C@H:12]([CH2:13][CH2:14][N:15]2[CH2:16][CH2:17][CH:18]([c:19]3[cH:20][cH:21][cH:22][c:23]4[c:24]3[O:25][CH2:26][O:27]4)[CH2:28][CH2:29]2)[CH2:30][CH2:31]1,,"[('b', 13, 453)]",4537
10918,[NH2:8][c:9]1[c:10]2[c:11]([n:12][c:13]3[s:14][cH:15][cH:16][c:17]13)[CH2:18][CH2:19][CH2:20][C:21]2=[O:22].Br[CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1,[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[NH:8][c:9]1[c:10]2[c:11]([n:12][c:13]3[s:14][cH:15][cH:16][c:17]13)[CH2:18][CH2:19][CH2:20][C:21]2=[O:22],,"[('b', 13, 449)]",955
10919,Br[c:1]1[c:2]([CH2:3][CH2:4][C:5]([NH:6][c:7]2[c:8]([CH3:9])[cH:10][cH:11][c:12]([C:13]([O:14][CH3:15])=[O:16])[cH:17]2)=[O:18])[c:19]([Br:20])[cH:21][c:22]([O:23][CH3:24])[cH:25]1,[c:1]12[c:2]([c:19]([Br:20])[cH:21][c:22]([O:23][CH3:24])[cH:25]1)[CH2:3][CH2:4][C:5](=[O:18])[N:6]2[c:7]1[c:8]([CH3:9])[cH:10][cH:11][c:12]([C:13]([O:14][CH3:15])=[O:16])[cH:17]1,,"[('b', 52, 441)]",553
10920,[CH3:9][O:10][C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16](-[c:17]2[cH:18][cH:19][nH:20][n:21]2)[s:22]1.Br[CH2:1][C:2]([O:3][C:4]([CH3:5])([CH3:6])[CH3:7])=[O:8],[CH2:1]([C:2]([O:3][C:4]([CH3:5])([CH3:6])[CH3:7])=[O:8])[n:20]1[cH:19][cH:18][c:17](-[c:16]2[cH:15][cH:14][c:13]([C:11]([O:10][CH3:9])=[O:12])[s:22]2)[n:21]1,,"[('b', 15, 440)]",457
